label,run_id,use_det,use_seg,use_pose,det_frame_count,det_avg_latency_ms,det_fps,seg_frame_count,seg_avg_latency_ms,seg_fps,pose_frame_count,pose_avg_latency_ms,pose_fps,cpu_percent,mem_percent
det,1,1,0,0,673,17.9213,42.1396,,,,,,,12.5185,8.58239
det,2,1,0,0,673,17.9383,42.121,,,,,,,12.3472,8.31259
det,3,1,0,0,673,17.9627,42.0176,,,,,,,12.3372,8.47077
seg,1,0,1,0,,,,673,23.0127,34.4379,,,,10.9623,8.49514
seg,2,0,1,0,,,,673,23.0039,34.4383,,,,10.8675,8.56333
seg,3,0,1,0,,,,673,23.0221,34.9525,,,,11.12,8.53991
pose,1,0,0,1,,,,,,,673,17.9997,41.9644,12.1118,8.38641
pose,2,0,0,1,,,,,,,673,18.0244,41.8979,12.8649,8.55509
pose,3,0,0,1,,,,,,,673,18.0243,41.9287,13.1208,8.52104
det_seg,1,1,1,0,673,25.3838,31.8433,673,25.2945,31.8535,,,,19.4242,9.49554
det_seg,2,1,1,0,673,25.2828,31.8847,673,25.3748,31.7612,,,,18.7512,9.36609
det_seg,3,1,1,0,673,25.2594,31.9599,673,25.3707,31.7969,,,,18.9053,9.32224
det_pose,1,1,0,1,673,20.7206,38.2135,,,,673,20.7404,38.1975,21.0699,9.62547
det_pose,2,1,0,1,673,20.8421,37.9886,,,,673,20.8415,38.0266,21.1317,9.63588
det_pose,3,1,0,1,673,20.7036,38.6395,,,,673,20.6836,38.6788,21.016,9.61024
seg_pose,1,0,1,1,,,,673,25.4201,31.6292,673,25.5475,31.6216,19.3682,9.89405
seg_pose,2,0,1,1,,,,673,25.4934,31.5568,673,25.5569,31.5929,18.607,9.00248
seg_pose,3,0,1,1,,,,673,25.4882,31.5493,673,25.6266,31.5406,19.2493,9.21939
det_seg_pose,1,1,1,1,673,26.168,31.8217,673,26.1008,31.8025,673,26.1718,31.7922,26.5528,10.0953
det_seg_pose,2,1,1,1,673,26.0847,31.8744,673,25.9964,31.8522,673,26.0407,31.8874,26.0051,10.3884
det_seg_pose,3,1,1,1,673,26.1236,31.4962,673,25.9718,31.5231,673,26.0473,31.5125,26.7365,10.1705
det,1,1,0,0,673,17.8136,42.4163,,,,,,,12.7501,6.7253
det,2,1,0,0,673,17.7923,42.4301,,,,,,,12.9687,6.90065
det,3,1,0,0,673,17.8026,42.1336,,,,,,,12.6279,6.95992
seg,1,0,1,0,,,,673,22.8124,34.713,,,,11.0357,7.14643
seg,2,0,1,0,,,,673,22.8029,34.712,,,,11.3558,7.1056
seg,3,0,1,0,,,,673,22.4632,35.157,,,,10.8019,7.00887
pose,1,0,0,1,,,,,,,673,17.7955,42.4012,12.5776,7.17182
pose,2,0,0,1,,,,,,,673,17.7932,42.4014,12.9676,7.2167
pose,3,0,0,1,,,,,,,673,17.8006,42.3601,12.8651,6.85066
det_seg,1,1,1,0,673,25.0826,32.1695,673,25.1519,32.0067,,,,19.1681,7.81004
det_seg,2,1,1,0,673,25.2434,31.9612,673,25.2036,31.9231,,,,18.9286,8.39537
det_seg,3,1,1,0,673,25.1189,32.104,673,25.1333,32.0671,,,,19.4193,7.84307
det_pose,1,1,0,1,673,20.7043,38.2316,,,,673,20.7338,38.2162,21.4339,8.15024
det_pose,2,1,0,1,673,20.5478,37.8635,,,,673,20.574,37.8462,21.8123,8.51577
det_pose,3,1,0,1,673,20.7219,38.3983,,,,673,20.7286,38.4375,21.3054,7.97828
seg_pose,1,0,1,1,,,,673,25.4009,31.5214,673,25.4889,31.5134,19.5863,8.14736
det,1,1,0,0,673,17.8304,42.3927,,,,,,,12.5632,6.76675
det,2,1,0,0,673,17.8411,42.3239,,,,,,,12.9354,6.7556
det,3,1,0,0,673,17.8359,42.3196,,,,,,,12.6818,6.89661
seg,1,0,1,0,,,,673,22.8666,34.6485,,,,11.2007,7.13976
seg,2,0,1,0,,,,673,22.7856,34.7642,,,,10.8915,6.86516
seg,3,0,1,0,,,,673,22.8762,34.6504,,,,10.6852,6.86174
pose,1,0,0,1,,,,,,,673,17.8263,42.339,13.0519,6.98292
pose,2,0,0,1,,,,,,,673,17.8201,42.3792,12.3875,7.01595
pose,3,0,0,1,,,,,,,673,17.8074,42.4043,12.7382,6.93609
det_seg,1,1,1,0,673,25.1379,32.0692,673,25.1126,32.0779,,,,19.196,7.70133
det_seg,2,1,1,0,673,25.1973,32.1646,673,25.1336,32.1747,,,,18.9294,7.87561
det_seg,3,1,1,0,673,25.1352,31.8643,673,25.236,31.705,,,,19.3373,8.01206
det_pose,1,1,0,1,673,20.7708,38.0996,,,,673,20.7974,38.0819,21.098,7.70003
det_pose,2,1,0,1,673,20.648,39.0165,,,,673,20.6479,39.0582,20.6702,7.97209
det_pose,3,1,0,1,673,20.753,37.5919,,,,673,20.7897,37.5733,21.9111,7.76571
seg_pose,1,0,1,1,,,,673,25.5755,31.5674,673,25.6016,31.602,18.8527,8.41386
seg_pose,2,0,1,1,,,,673,25.5398,31.5427,673,25.5175,31.7038,18.9307,8.28194
seg_pose,3,0,1,1,,,,673,25.4557,31.6393,673,25.5758,31.6292,19.3629,7.8658
det_seg_pose,1,1,1,1,673,25.8857,31.7946,673,25.7333,31.8209,673,25.8202,31.811,27.0438,8.69201
det_seg_pose,2,1,1,1,673,26.0548,32.0173,673,25.9916,31.9817,673,25.9367,32.112,25.5871,8.32395
det_seg_pose,3,1,1,1,673,25.8685,31.3252,673,25.7296,31.3042,673,25.8232,31.2963,28.2132,8.35405
