label,run_id,use_det,use_seg,use_pose,det_frame_count,det_avg_latency_ms,det_fps,seg_frame_count,seg_avg_latency_ms,seg_fps,pose_frame_count,pose_avg_latency_ms,pose_fps,cpu_percent,mem_percent
det,1,1,0,0,673,17.8304,42.3927,,,,,,,12.5632,6.76675
det,2,1,0,0,673,17.8411,42.3239,,,,,,,12.9354,6.7556
det,3,1,0,0,673,17.8359,42.3196,,,,,,,12.6818,6.89661
seg,1,0,1,0,,,,673,22.8666,34.6485,,,,11.2007,7.13976
seg,2,0,1,0,,,,673,22.7856,34.7642,,,,10.8915,6.86516
seg,3,0,1,0,,,,673,22.8762,34.6504,,,,10.6852,6.86174
pose,1,0,0,1,,,,,,,673,17.8263,42.339,13.0519,6.98292
pose,2,0,0,1,,,,,,,673,17.8201,42.3792,12.3875,7.01595
pose,3,0,0,1,,,,,,,673,17.8074,42.4043,12.7382,6.93609
det_seg,1,1,1,0,673,25.1379,32.0692,673,25.1126,32.0779,,,,19.196,7.70133
det_seg,2,1,1,0,673,25.1973,32.1646,673,25.1336,32.1747,,,,18.9294,7.87561
det_seg,3,1,1,0,673,25.1352,31.8643,673,25.236,31.705,,,,19.3373,8.01206
det_pose,1,1,0,1,673,20.7708,38.0996,,,,673,20.7974,38.0819,21.098,7.70003
det_pose,2,1,0,1,673,20.648,39.0165,,,,673,20.6479,39.0582,20.6702,7.97209
det_pose,3,1,0,1,673,20.753,37.5919,,,,673,20.7897,37.5733,21.9111,7.76571
seg_pose,1,0,1,1,,,,673,25.5755,31.5674,673,25.6016,31.602,18.8527,8.41386
seg_pose,2,0,1,1,,,,673,25.5398,31.5427,673,25.5175,31.7038,18.9307,8.28194
seg_pose,3,0,1,1,,,,673,25.4557,31.6393,673,25.5758,31.6292,19.3629,7.8658
det_seg_pose,1,1,1,1,673,25.8857,31.7946,673,25.7333,31.8209,673,25.8202,31.811,27.0438,8.69201
det_seg_pose,2,1,1,1,673,26.0548,32.0173,673,25.9916,31.9817,673,25.9367,32.112,25.5871,8.32395
det_seg_pose,3,1,1,1,673,25.8685,31.3252,673,25.7296,31.3042,673,25.8232,31.2963,28.2132,8.35405
