sweep_set,label,n_runs,det_avg_latency_ms,det_fps,seg_avg_latency_ms,seg_fps,pose_avg_latency_ms,pose_fps,cpu_percent,mem_percent,total_fps
A,det,3,17.9408,42.0927,,,,,12.4010,8.4552,42.0927
A,seg,3,,,23.0129,34.6096,,,10.9833,8.5328,34.6096
A,pose,3,,,,,18.0161,41.9303,12.6992,8.4875,41.9303
A,det_seg,3,25.3087,31.8960,25.3467,31.8039,,,19.0269,9.3946,63.6998
A,det_pose,3,20.7554,38.2805,,,20.7552,38.3010,21.0725,9.6239,76.5815
A,seg_pose,3,,,25.4672,31.5784,25.5770,31.5850,19.0748,9.3720,63.1635
A,det_seg_pose,3,26.1254,31.7308,26.0230,31.7259,26.0866,31.7307,26.4315,10.2181,95.1874
C,det,3,17.8358,42.3454,,,,,12.7268,6.8063,42.3454
C,seg,3,,,22.8428,34.6877,,,10.9258,6.9556,34.6877
C,pose,3,,,,,17.8179,42.3742,12.7259,6.9783,42.3742
C,det_seg,3,25.1568,32.0327,25.1607,31.9859,,,19.1542,7.8630,64.0186
C,det_pose,3,20.7239,38.2360,,,20.7450,38.2378,21.2264,7.8126,76.4738
C,seg_pose,3,,,25.5237,31.5831,25.5650,31.6450,19.0488,8.1872,63.2281
C,det_seg_pose,3,25.9363,31.7124,25.8182,31.7023,25.8600,31.7398,26.9480,8.4567,95.1544
