label,run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,run_time_s,det_frame_count,avg_fps_det,max_latency_det,seg_frame_count,avg_fps_seg,max_latency_seg,pose_frame_count,avg_fps_pose,max_latency_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose,total_time_ms_nopp_det,total_time_ms_nopp_seg,total_time_ms_nopp_pose
det,1,1,0,0,0,1,1,1,0,16,16,16,19.0571,NaN,NaN,13.11,8.06216,673,329,23.0938,16.8074,673,40.0426,41.4337,NaN,NaN,NaN,NaN,NaN,NaN,16.8071,NaN,NaN,5.8388,NaN,NaN,NaN,NaN,NaN,24.8959,NaN,NaN,24.8959,NaN,NaN
det,2,1,0,0,0,1,1,1,0,16,16,16,19.1152,NaN,NaN,12.5524,7.89975,675,147,23.4375,16.8028,673,40.0537,49.4966,NaN,NaN,NaN,NaN,NaN,NaN,16.8024,NaN,NaN,5.77611,NaN,NaN,NaN,NaN,NaN,24.8913,NaN,NaN,24.8913,NaN,NaN
det,3,1,0,0,0,1,1,1,0,16,16,16,19.3373,NaN,NaN,12.1497,7.85803,675,170,23.2375,16.9732,673,39.6516,46.8777,NaN,NaN,NaN,NaN,NaN,NaN,16.9728,NaN,NaN,5.80686,NaN,NaN,NaN,NaN,NaN,25.1442,NaN,NaN,25.1442,NaN,NaN
seg,1,0,1,0,0,1,1,1,0,16,16,16,NaN,24.7275,NaN,10.5739,8.10017,674,259,23.0105,20.7183,NaN,NaN,NaN,673,32.4839,54.4476,NaN,NaN,NaN,NaN,20.7179,NaN,NaN,5.9801,NaN,NaN,NaN,NaN,NaN,30.7076,NaN,NaN,30.7076,NaN
seg,2,0,1,0,0,1,1,1,0,16,16,16,NaN,24.573,NaN,10.8267,8.15555,676,318,23.0842,20.6335,NaN,NaN,NaN,673,32.6174,55.9049,NaN,NaN,NaN,NaN,20.6332,NaN,NaN,6.00668,NaN,NaN,NaN,NaN,NaN,30.5797,NaN,NaN,30.5797,NaN
seg,3,0,1,0,0,1,1,1,0,16,16,16,NaN,24.7931,NaN,10.0717,8.05102,675,95,22.8579,20.4769,NaN,NaN,NaN,673,32.8669,61.3205,NaN,NaN,NaN,NaN,20.4765,NaN,NaN,5.55793,NaN,NaN,NaN,NaN,NaN,30.3511,NaN,NaN,30.3511,NaN
pose,1,0,0,1,0,1,1,1,0,16,16,16,NaN,NaN,19.5584,11.9762,8.03792,674,179,25.375,17.1239,NaN,NaN,NaN,NaN,NaN,NaN,673,39.3025,51.2653,NaN,NaN,17.1236,NaN,NaN,5.80948,NaN,NaN,NaN,NaN,NaN,25.3679,NaN,NaN,25.3679
pose,2,0,0,1,0,1,1,1,0,16,16,16,NaN,NaN,19.512,12.5338,8.01632,675,80,25.9813,17.116,NaN,NaN,NaN,NaN,NaN,NaN,673,39.3206,44.7164,NaN,NaN,17.1157,NaN,NaN,5.84432,NaN,NaN,NaN,NaN,NaN,25.3563,NaN,NaN,25.3563
pose,3,0,0,1,0,1,1,1,0,16,16,16,NaN,NaN,19.9401,12.4716,7.77117,673,243,25.1375,17.3851,NaN,NaN,NaN,NaN,NaN,NaN,673,38.712,84.5466,NaN,NaN,17.3848,NaN,NaN,5.81608,NaN,NaN,NaN,NaN,NaN,25.7562,NaN,NaN,25.7562
det_seg,1,1,1,0,0,1,1,1,0,16,16,16,26.7597,27.9443,NaN,18.2176,8.31925,1370,2630,43.9714,22.9213,673,30.3919,83.9263,673,29.3621,79.3892,NaN,NaN,NaN,22.1441,22.9207,NaN,6.04368,6.03291,NaN,NaN,NaN,NaN,32.8034,33.9772,NaN,32.8034,33.9772,NaN
det_seg,2,1,1,0,0,1,1,1,0,16,16,16,26.5455,27.9759,NaN,18.0785,8.75173,1379,2898,42.9619,23.0154,673,30.5869,59.5203,673,29.2418,57.6908,NaN,NaN,NaN,22.0029,23.015,NaN,6.05551,6.13408,NaN,NaN,NaN,NaN,32.601,34.11,NaN,32.601,34.11,NaN
det_seg,3,1,1,0,0,1,1,1,0,16,16,16,27.3251,28.1716,NaN,17.8263,8.39837,1371,2944,43.8286,23.109,673,29.875,120.57,673,29.1235,86.2702,NaN,NaN,NaN,22.5272,23.1085,NaN,6.05166,6.08706,NaN,NaN,NaN,NaN,33.3768,34.2587,NaN,33.3768,34.2587,NaN
det_pose,1,1,0,1,0,1,1,1,0,16,16,16,23.3575,NaN,23.5959,20.3259,8.67455,1382,3003,47.6556,19.8549,673,34.1348,91.4037,NaN,NaN,NaN,673,33.8967,80.7853,19.716,NaN,19.8544,5.85053,NaN,5.83127,NaN,NaN,NaN,29.208,NaN,29.4272,29.208,NaN,29.4272
det_pose,2,1,0,1,0,1,1,1,0,16,16,16,23.6293,NaN,23.6854,19.1446,8.30725,1357,702,49.5889,19.3956,673,34.7699,80.1373,NaN,NaN,NaN,673,34.6995,74.2591,19.3558,NaN,19.3951,5.05004,NaN,5.06006,NaN,NaN,NaN,28.6793,NaN,28.7455,28.6793,NaN,28.7455
det_pose,3,1,0,1,0,1,1,1,0,16,16,16,23.7077,NaN,23.771,19.7343,8.67551,1366,1965,49.3111,19.4657,673,34.6657,59.2554,NaN,NaN,NaN,673,34.5744,59.309,19.414,NaN,19.4653,5.05785,NaN,5.06832,NaN,NaN,NaN,28.7656,NaN,28.8393,28.7656,NaN,28.8393
seg_pose,1,0,1,1,0,1,1,1,0,16,16,16,NaN,29.259,27.7903,17.8843,8.59915,1382,4269,43.1909,23.973,NaN,NaN,NaN,673,28.0739,87.038,673,29.3065,71.4728,NaN,23.9725,22.9642,NaN,6.28524,6.23199,NaN,NaN,NaN,NaN,35.5442,34.0223,NaN,35.5442,34.0223
seg_pose,2,0,1,1,0,1,1,1,0,16,16,16,NaN,29.2363,27.9965,17.0642,8.81434,1371,4381,44.3273,23.6569,NaN,NaN,NaN,673,28.4489,95.541,673,29.5801,78.3074,NaN,23.6564,22.7518,NaN,5.82939,5.72993,NaN,NaN,NaN,NaN,35.0657,33.7264,NaN,35.0657,33.7264
seg_pose,3,0,1,1,0,1,1,1,0,16,16,16,NaN,29.2298,27.6497,18.213,8.63384,1377,4099,43.4636,23.8436,NaN,NaN,NaN,673,28.226,78.16,673,29.5659,62.6122,NaN,23.8433,22.7627,NaN,6.11017,6.07243,NaN,NaN,NaN,NaN,35.34,33.7222,NaN,35.34,33.7222
det_seg_pose,1,1,1,1,0,1,1,1,0,16,16,16,25.2073,26.4612,26.4333,24.9792,8.02138,3750,6602,72.745,21.6917,673,31.1828,58.4632,673,31.0263,58.978,673,31.063,61.4171,21.5824,21.6913,21.6657,6.77642,5.68641,5.68125,NaN,NaN,NaN,31.9837,32.1476,32.1145,31.9837,32.1476,32.1145
det_seg_pose,2,1,1,1,0,1,1,1,0,16,16,16,26.6817,26.7364,26.6694,25.6736,7.61379,2191,6978,73.36,21.5245,673,31.4102,84.767,673,31.2674,70.5116,673,31.3834,66.5807,21.4261,21.524,21.4444,5.06751,5.17781,5.10208,NaN,NaN,NaN,31.7492,31.9142,31.7715,31.7492,31.9142,31.7715
