label,run_id,use_det,use_seg,use_pose,det_frame_count,det_avg_latency_ms,det_fps,seg_frame_count,seg_avg_latency_ms,seg_fps,pose_frame_count,pose_avg_latency_ms,pose_fps,cpu_percent,mem_percent
det,1,1,0,0,673,17.9213,42.1396,,,,,,,12.5185,8.58239
det,2,1,0,0,673,17.9383,42.121,,,,,,,12.3472,8.31259
det,3,1,0,0,673,17.9627,42.0176,,,,,,,12.3372,8.47077
seg,1,0,1,0,,,,673,23.0127,34.4379,,,,10.9623,8.49514
seg,2,0,1,0,,,,673,23.0039,34.4383,,,,10.8675,8.56333
seg,3,0,1,0,,,,673,23.0221,34.9525,,,,11.12,8.53991
pose,1,0,0,1,,,,,,,673,17.9997,41.9644,12.1118,8.38641
pose,2,0,0,1,,,,,,,673,18.0244,41.8979,12.8649,8.55509
pose,3,0,0,1,,,,,,,673,18.0243,41.9287,13.1208,8.52104
det_seg,1,1,1,0,673,25.3838,31.8433,673,25.2945,31.8535,,,,19.4242,9.49554
det_seg,2,1,1,0,673,25.2828,31.8847,673,25.3748,31.7612,,,,18.7512,9.36609
det_seg,3,1,1,0,673,25.2594,31.9599,673,25.3707,31.7969,,,,18.9053,9.32224
det_pose,1,1,0,1,673,20.7206,38.2135,,,,673,20.7404,38.1975,21.0699,9.62547
det_pose,2,1,0,1,673,20.8421,37.9886,,,,673,20.8415,38.0266,21.1317,9.63588
det_pose,3,1,0,1,673,20.7036,38.6395,,,,673,20.6836,38.6788,21.016,9.61024
seg_pose,1,0,1,1,,,,673,25.4201,31.6292,673,25.5475,31.6216,19.3682,9.89405
seg_pose,2,0,1,1,,,,673,25.4934,31.5568,673,25.5569,31.5929,18.607,9.00248
seg_pose,3,0,1,1,,,,673,25.4882,31.5493,673,25.6266,31.5406,19.2493,9.21939
det_seg_pose,1,1,1,1,673,26.168,31.8217,673,26.1008,31.8025,673,26.1718,31.7922,26.5528,10.0953
det_seg_pose,2,1,1,1,673,26.0847,31.8744,673,25.9964,31.8522,673,26.0407,31.8874,26.0051,10.3884
det_seg_pose,3,1,1,1,673,26.1236,31.4962,673,25.9718,31.5231,673,26.0473,31.5125,26.7365,10.1705
