# epoch_wall_clock_ns=1788137991320403507
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,0,prep,830068.474,844330.149,14.262,,1
det,0,infer,844333.926,902018.129,57.684,0.182,1
det,1,prep,902114.778,906006.329,3.892,,1
det,1,infer,906008.643,929474.820,23.466,0.146,1
det,2,prep,929553.654,937131.402,7.578,,1
det,2,infer,937133.828,959410.514,22.277,0.151,1
det,3,prep,959496.533,961034.472,1.538,,1
det,3,infer,961037.064,982608.651,21.572,0.122,1
det,4,prep,982620.929,986804.094,4.183,,1
det,4,infer,986806.520,1009445.634,22.639,0.139,1
det,5,prep,1009524.764,1013849.708,4.325,,1
det,5,infer,1013853.152,1057118.086,43.265,0.143,1
det,6,prep,1057196.087,1060611.726,3.416,,1
det,6,infer,1060613.745,1083430.638,22.817,0.133,1
det,7,prep,1083443.213,1087248.522,3.805,,1
det,7,infer,1087251.041,1108402.643,21.152,0.137,1
det,8,prep,1108476.791,1111973.561,3.497,,1
det,8,infer,1111975.950,1133533.870,21.558,0.154,1
det,9,prep,1133543.463,1138836.137,5.293,,1
det,9,infer,1138838.933,1160460.909,21.622,0.131,1
det,10,prep,1160542.762,1164529.443,3.987,,1
det,10,infer,1164532.536,1186665.516,22.133,0.133,1
det,11,prep,1186746.424,1191747.910,5.001,,1
det,11,infer,1191751.336,1226009.269,34.258,0.143,1
det,12,prep,1226091.770,1232426.119,6.334,,1
det,12,infer,1232430.101,1255571.664,23.142,0.136,1
det,13,prep,1255654.164,1260559.335,4.905,,1
det,13,infer,1260561.687,1282183.774,21.622,0.132,1
det,14,prep,1282255.923,1286353.735,4.098,,1
det,14,infer,1286355.568,1309414.686,23.059,0.131,1
det,15,prep,1309492.446,1315510.459,6.018,,1
det,15,infer,1315513.570,1337632.495,22.119,0.135,1
det,16,prep,1337722.662,1341725.029,4.002,,1
det,16,infer,1341727.344,1363386.098,21.659,0.139,1
det,17,prep,1363464.099,1368052.989,4.589,,1
det,17,infer,1368055.229,1391228.385,23.173,0.155,1
det,18,prep,1391310.978,1398718.410,7.407,,1
det,18,infer,1398720.985,1423385.819,24.665,0.138,1
det,19,prep,1423467.524,1427135.684,3.668,,1
det,19,infer,1427138.554,1449910.688,22.772,0.136,1
det,20,prep,1449981.559,1452737.527,2.756,,1
det,20,infer,1452740.119,1475629.421,22.889,0.132,1
det,21,prep,1475641.236,1480563.536,4.922,,1
det,21,infer,1480566.092,1503904.156,23.338,0.135,1
det,22,prep,1503977.638,1510149.153,6.172,,1
det,22,infer,1510152.356,1533766.219,23.614,0.138,1
det,23,prep,1533838.090,1536956.302,3.118,,1
det,23,infer,1536958.450,1559640.787,22.682,0.128,1
det,24,prep,1559652.231,1563431.263,3.779,,1
det,24,infer,1563433.355,1586560.659,23.127,0.130,1
det,25,prep,1586634.437,1591846.869,5.212,,1
det,25,infer,1591848.758,1614895.135,23.046,0.138,1
det,26,prep,1614979.784,1619264.987,4.285,,1
det,26,infer,1619267.709,1641734.451,22.467,0.140,1
det,27,prep,1641821.267,1646544.806,4.724,,1
det,27,infer,1646547.436,1669917.315,23.370,0.134,1
det,28,prep,1669994.705,1674672.374,4.678,,1
det,28,infer,1674674.744,1697635.120,22.960,0.136,1
det,29,prep,1697718.028,1703077.536,5.360,,1
det,29,infer,1703080.128,1724941.569,21.861,0.133,1
det,30,prep,1725024.440,1730760.395,5.736,,1
det,30,infer,1730762.284,1752349.167,21.587,0.133,1
det,31,prep,1752432.908,1757977.232,5.544,,1
det,31,infer,1757980.214,1781207.018,23.227,0.136,1
det,32,prep,1781282.500,1784778.992,3.496,,1
det,32,infer,1784781.270,1807378.087,22.597,0.136,1
det,33,prep,1807454.958,1811912.236,4.457,,1
det,33,infer,1811914.995,1835318.856,23.404,0.139,1
det,34,prep,1835401.301,1839601.058,4.200,,1
det,34,infer,1839603.558,1863168.365,23.565,0.128,1
det,35,prep,1863181.551,1867948.701,4.767,,1
det,35,infer,1867951.164,1891123.635,23.172,0.131,1
det,36,prep,1891213.006,1897205.537,5.993,,1
det,36,infer,1897208.537,1920534.749,23.326,0.134,1
det,37,prep,1920611.620,1928459.871,7.848,,1
det,37,infer,1928462.204,1963413.235,34.951,0.134,1
det,38,prep,1963494.902,1968197.312,4.702,,1
det,38,infer,1968199.497,1992757.645,24.558,0.152,1
det,39,prep,1992836.665,1996395.861,3.559,,1
det,39,infer,1996398.250,2018744.380,22.346,0.137,1
det,40,prep,2018814.973,2021923.814,3.109,,1
det,40,infer,2021926.147,2043641.105,21.715,0.131,1
det,41,prep,2043651.309,2048951.557,5.300,,1
det,41,infer,2048954.186,2071726.375,22.772,0.137,1
det,42,prep,2071802.987,2076277.932,4.475,,1
det,42,infer,2076281.672,2111884.264,35.603,0.136,1
det,43,prep,2111962.321,2116732.101,4.770,,1
det,43,infer,2116735.416,2139488.068,22.753,0.141,1
det,44,prep,2139566.976,2145708.694,6.142,,1
det,44,infer,2145711.064,2170954.774,25.244,0.137,1
det,45,prep,2171033.071,2176401.115,5.368,,1
det,45,infer,2176403.671,2199524.974,23.121,0.142,1
det,46,prep,2199603.086,2204497.682,4.895,,1
det,46,infer,2204500.700,2227542.058,23.041,0.144,1
det,47,prep,2227618.670,2231786.705,4.168,,1
det,47,infer,2231789.612,2277946.273,46.157,0.137,1
det,48,prep,2278022.274,2282221.679,4.199,,1
det,48,infer,2282224.383,2304878.942,22.655,0.141,1
det,49,prep,2304957.831,2309328.034,4.370,,1
det,49,infer,2309330.738,2331326.198,21.995,0.136,1
det,50,prep,2331403.662,2335501.029,4.097,,1
det,50,infer,2335504.103,2357533.934,22.030,0.136,1
det,51,prep,2357612.454,2362307.974,4.696,,1
det,51,infer,2362310.715,2384440.954,22.130,0.137,1
det,52,prep,2384525.010,2389087.160,4.562,,1
det,52,infer,2389089.530,2410435.855,21.346,0.140,1
det,53,prep,2410510.523,2413154.378,2.644,,1
det,53,infer,2413156.526,2434408.295,21.252,0.130,1
det,54,prep,2434419.184,2438437.051,4.018,,1
