# epoch_wall_clock_ns=1788137724900176073
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,0,prep,299680.199,311810.868,12.131,,1
det,0,infer,311817.386,344008.316,32.191,0.201,1
det,1,prep,344117.411,347801.740,3.684,,1
det,1,infer,347803.851,366423.740,18.620,0.142,1
det,2,prep,366516.556,374072.865,7.556,,1
det,2,infer,374075.365,392356.750,18.281,0.148,1
det,3,prep,392430.399,393897.808,1.467,,1
det,3,infer,393899.678,412507.771,18.608,0.119,1
det,4,prep,412515.975,416539.587,4.024,,1
det,4,infer,416541.753,434850.860,18.309,0.132,1
det,5,prep,434910.917,439104.049,4.193,,1
det,5,infer,439106.290,457993.442,18.887,0.133,1
det,6,prep,458057.425,461454.064,3.397,,1
det,6,infer,461456.324,479733.930,18.278,0.131,1
det,7,prep,479743.653,483297.517,3.554,,1
det,7,infer,483299.147,501539.808,18.241,0.116,1
det,8,prep,501597.791,505076.821,3.479,,1
det,8,infer,505078.691,523422.558,18.344,0.122,1
det,9,prep,523433.373,528597.185,5.164,,1
det,9,infer,528598.741,546914.033,18.315,0.121,1
det,10,prep,546980.664,550857.088,3.876,,1
det,10,infer,550859.199,569112.620,18.253,0.128,1
det,11,prep,569171.769,573617.646,4.446,,1
det,11,infer,573619.794,591888.327,18.269,0.134,1
det,12,prep,591949.513,598038.690,6.089,,1
det,12,infer,598040.894,616541.819,18.501,0.136,1
det,13,prep,616605.653,621412.442,4.807,,1
det,13,infer,621414.905,639910.107,18.495,0.126,1
det,14,prep,639964.478,643985.386,4.021,,1
det,14,infer,643987.331,662331.457,18.344,0.129,1
det,15,prep,662387.439,668208.409,5.821,,1
det,15,infer,668210.539,686870.299,18.660,0.138,1
det,16,prep,686936.744,690897.022,3.960,,1
det,16,infer,690899.874,709390.131,18.490,0.135,1
det,17,prep,709447.965,713980.640,4.533,,1
det,17,infer,713983.399,732706.215,18.723,0.131,1
det,18,prep,732774.476,740171.023,7.397,,1
det,18,infer,740172.857,765447.375,25.275,0.134,1
det,19,prep,765512.488,769223.576,3.711,,1
det,19,infer,769225.817,788009.616,18.784,0.129,1
det,20,prep,788070.913,790759.821,2.689,,1
det,20,infer,790762.895,809177.078,18.414,0.125,1
det,21,prep,809187.152,813983.978,4.797,,1
det,21,infer,813985.422,832773.184,18.788,0.121,1
det,22,prep,832837.870,838952.696,6.115,,1
det,22,infer,838955.493,877381.658,38.426,0.129,1
det,23,prep,877451.807,880586.517,3.135,,1
det,23,infer,880588.203,899466.095,18.878,0.122,1
det,24,prep,899477.725,903197.666,3.720,,1
det,24,infer,903199.555,921681.183,18.482,0.125,1
det,25,prep,921746.276,926847.199,5.101,,1
det,25,infer,926849.495,945390.828,18.541,0.133,1
det,26,prep,945457.255,949685.499,4.228,,1
det,26,infer,949687.147,968182.220,18.495,0.129,1
det,27,prep,968245.998,972918.082,4.672,,1
det,27,infer,972922.767,991596.157,18.673,0.125,1
det,28,prep,991651.991,996246.611,4.595,,1
det,28,infer,996248.278,1014854.500,18.606,0.143,1
det,29,prep,1014917.927,1020199.908,5.282,,1
det,29,infer,1020202.371,1039201.302,18.999,0.125,1
det,30,prep,1039260.118,1044789.973,5.530,,1
det,30,infer,1044792.213,1063551.401,18.759,0.129,1
det,31,prep,1063616.013,1069068.107,5.452,,1
det,31,infer,1069070.033,1087402.937,18.333,0.125,1
det,32,prep,1087462.493,1090861.004,3.399,,1
det,32,infer,1090863.485,1109188.740,18.325,0.124,1
det,33,prep,1109248.963,1113642.691,4.394,,1
