# epoch_wall_clock_ns=1788139341444482145
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,0,prep,1860568.183,2182780.769,322.213,,1
det,0,infer,2182785.510,2213584.459,30.799,0.250,1
det,1,prep,2213710.021,2219038.541,5.329,,1
det,1,infer,2219040.764,2242079.509,23.039,0.167,1
det,2,prep,2242175.384,2253252.725,11.077,,1
det,2,infer,2253255.410,2279717.594,26.462,0.172,1
det,3,prep,2279832.915,2282238.467,2.406,,1
det,3,infer,2282241.523,2310323.033,28.082,0.148,1
det,4,prep,2310337.330,2316103.818,5.766,,1
det,4,infer,2316106.133,2342198.520,26.092,0.144,1
det,5,prep,2342299.321,2348240.874,5.942,,1
det,5,infer,2348242.892,2373251.704,25.009,0.151,1
det,6,prep,2373349.302,2378164.314,4.815,,1
det,6,infer,2378166.740,2403615.593,25.449,0.146,1
det,7,prep,2403627.983,2408693.656,5.066,,1
det,7,infer,2408695.656,2434712.169,26.017,0.141,1
det,8,prep,2434806.229,2439333.429,4.527,,1
det,8,infer,2439335.818,2465308.162,25.972,0.142,1
det,9,prep,2465323.552,2472179.023,6.855,,1
det,9,infer,2472181.375,2498768.214,26.587,0.150,1
det,10,prep,2498862.163,2503975.172,5.113,,1
det,10,infer,2503977.783,2531669.421,27.692,0.150,1
det,11,prep,2531766.852,2537570.916,5.804,,1
det,11,infer,2537573.564,2565532.493,27.959,0.155,1
det,12,prep,2565633.073,2573667.531,8.034,,1
det,12,infer,2573670.142,2597834.021,24.164,0.156,1
det,13,prep,2597930.359,2604678.973,6.749,,1
det,13,infer,2604680.991,2631558.419,26.877,0.144,1
det,14,prep,2631643.257,2636670.336,5.027,,1
det,14,infer,2636672.391,2665687.376,29.015,0.142,1
det,15,prep,2665773.936,2673069.319,7.295,,1
det,15,infer,2673072.430,2699416.534,26.344,0.151,1
det,16,prep,2699524.688,2704366.794,4.842,,1
det,16,infer,2704369.202,2728156.783,23.788,0.150,1
det,17,prep,2728252.880,2734229.786,5.977,,1
det,17,infer,2734232.916,2761834.364,27.601,0.154,1
det,18,prep,2762059.505,2771760.199,9.701,,1
det,18,infer,2771763.107,2798562.716,26.800,0.152,1
det,19,prep,2798659.184,2803383.543,4.724,,1
det,19,infer,2803385.617,2829769.112,26.383,0.147,1
det,20,prep,2829853.950,2833146.901,3.293,,1
det,20,infer,2833149.030,2866065.720,32.917,0.143,1
det,21,prep,2866079.498,2872058.090,5.979,,1
det,21,infer,2872060.997,2896025.532,23.965,0.144,1
det,22,prep,2896117.741,2903787.106,7.669,,1
det,22,infer,2903789.606,2926692.178,22.903,0.148,1
det,23,prep,2926781.868,2930726.148,3.944,,1
det,23,infer,2930728.389,2962060.385,31.332,0.146,1
det,24,prep,2962074.737,2966910.713,4.836,,1
det,24,infer,2966913.602,2993755.084,26.841,0.153,1
det,25,prep,2993850.126,3000550.663,6.701,,1
det,25,infer,3000553.218,3059016.674,58.463,0.158,1
det,26,prep,3059114.420,3064488.128,5.374,,1
det,26,infer,3064494.295,3088176.648,23.682,0.150,1
det,27,prep,3088269.449,3094088.588,5.819,,1
det,27,infer,3094090.847,3121597.123,27.506,0.148,1
det,28,prep,3121691.480,3127715.351,6.024,,1
det,28,infer,3127718.111,3153519.816,25.802,0.160,1
det,29,prep,3153622.136,3160557.611,6.935,,1
det,29,infer,3160560.611,3186867.769,26.307,0.158,1
det,30,prep,3186962.700,3194240.859,7.278,,1
det,30,infer,3194243.489,3217457.540,23.214,0.150,1
det,31,prep,3217538.544,3223098.095,5.560,,1
det,31,infer,3223100.836,3256328.857,33.228,0.131,1
det,32,prep,3256408.602,3259895.747,3.487,,1
det,32,infer,3259898.044,3288079.318,28.181,0.126,1
det,33,prep,3288162.508,3292639.150,4.477,,1
det,33,infer,3292641.595,3318061.317,25.420,0.130,1
det,34,prep,3318144.321,3322344.893,4.201,,1
det,34,infer,3322346.968,3348342.461,25.995,0.125,1
det,35,prep,3348354.832,3353101.488,4.747,,1
det,35,infer,3353103.785,3380333.750,27.230,0.128,1
det,36,prep,3380423.143,3386362.566,5.939,,1
det,36,infer,3386365.492,3412460.768,26.095,0.137,1
det,37,prep,3412538.421,3420370.387,7.832,,1
det,37,infer,3420372.665,3446592.966,26.220,0.134,1
det,38,prep,3446674.656,3451345.697,4.671,,1
det,38,infer,3451347.623,3480677.124,29.330,0.130,1
det,39,prep,3480756.536,3484293.962,3.537,,1
det,39,infer,3484295.721,3513270.130,28.974,0.125,1
det,40,prep,3513349.134,3516468.150,3.119,,1
det,40,infer,3516470.335,3541979.154,25.509,0.123,1
det,41,prep,3541992.711,3547265.024,5.272,,1
