# epoch_wall_clock_ns=1788137895756038078
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,0,prep,871165.061,884679.400,13.514,,1
det,0,infer,884682.937,925408.919,40.726,0.212,1
det,1,prep,925502.643,929281.051,3.778,,1
det,1,infer,929283.440,955337.775,26.054,0.134,1
det,2,prep,955396.701,963203.113,7.806,,1
det,2,infer,963205.502,989345.171,26.140,0.142,1
det,3,prep,989428.931,990937.242,1.508,,1
det,3,infer,990938.964,1017555.842,26.617,0.125,1
det,4,prep,1017568.342,1021771.347,4.203,,1
det,4,infer,1021773.903,1048981.898,27.208,0.138,1
det,5,prep,1049060.583,1053424.053,4.363,,1
det,5,infer,1053426.386,1079955.671,26.529,0.134,1
det,6,prep,1080033.431,1083517.854,3.484,,1
det,6,infer,1083520.058,1110918.462,27.398,0.131,1
det,7,prep,1110930.092,1114599.832,3.670,,1
det,7,infer,1114601.555,1141274.599,26.673,0.125,1
det,8,prep,1141345.600,1144890.284,3.545,,1
det,8,infer,1144892.469,1172972.880,28.080,0.131,1
det,9,prep,1172983.491,1178280.840,5.297,,1
det,9,infer,1178282.989,1204327.527,26.045,0.134,1
det,10,prep,1204402.787,1208363.253,3.960,,1
det,10,infer,1208365.382,1233357.873,24.992,0.156,1
det,11,prep,1233432.096,1237955.956,4.524,,1
det,11,infer,1237958.660,1278089.062,40.130,0.140,1
det,12,prep,1278169.488,1284369.773,6.200,,1
det,12,infer,1284371.865,1310683.424,26.312,0.295,1
det,13,prep,1310761.073,1315658.159,4.897,,1
det,13,infer,1315660.548,1355190.351,39.530,0.140,1
det,14,prep,1355265.185,1359312.947,4.048,,1
det,14,infer,1359315.522,1382647.329,23.332,0.144,1
det,15,prep,1382723.570,1388727.186,6.004,,1
det,15,infer,1388729.612,1411812.028,23.082,0.143,1
det,16,prep,1411899.066,1415875.105,3.976,,1
det,16,infer,1415877.161,1440397.628,24.520,0.139,1
det,17,prep,1440488.203,1445124.731,4.637,,1
det,17,infer,1445127.212,1470560.059,25.433,0.140,1
det,18,prep,1470622.467,1478165.283,7.543,,1
det,18,infer,1478167.839,1504607.159,26.439,0.136,1
det,19,prep,1504682.641,1508350.196,3.668,,1
det,19,infer,1508352.567,1534229.751,25.877,0.166,1
det,20,prep,1534298.363,1537015.946,2.718,,1
det,20,infer,1537018.538,1563389.654,26.371,0.134,1
det,21,prep,1563401.265,1568301.869,4.901,,1
det,21,infer,1568303.703,1595139.656,26.836,0.130,1
det,22,prep,1595213.675,1601421.219,6.208,,1
det,22,infer,1601423.978,1626292.153,24.868,0.135,1
det,23,prep,1626365.265,1629427.480,3.062,,1
det,23,infer,1629430.221,1656355.250,26.925,0.127,1
det,24,prep,1656366.342,1660126.306,3.760,,1
det,24,infer,1660128.380,1686402.679,26.274,0.135,1
det,25,prep,1686476.625,1691644.973,5.168,,1
det,25,infer,1691647.417,1717965.810,26.318,0.141,1
det,26,prep,1718042.866,1722308.761,4.266,,1
det,26,infer,1722311.242,1749086.602,26.775,0.139,1
det,27,prep,1749168.955,1753916.706,4.748,,1
det,27,infer,1753918.817,1779591.000,25.672,0.140,1
det,28,prep,1779672.260,1784344.751,4.672,,1
det,28,infer,1784347.584,1812051.546,27.704,0.165,1
det,29,prep,1812229.030,1817619.121,5.390,,1
det,29,infer,1817621.954,1844860.096,27.238,0.143,1
det,30,prep,1844964.431,1850620.117,5.656,,1
det,30,infer,1850622.710,1877881.741,27.259,0.141,1
det,31,prep,1878030.928,1883589.058,5.558,,1
det,31,infer,1883591.465,1909392.945,25.801,0.139,1
det,32,prep,1909471.224,1912963.407,3.492,,1
det,32,infer,1912965.740,1939622.173,26.656,0.141,1
det,33,prep,1939696.970,1944157.607,4.461,,1
det,33,infer,1944160.719,1980658.009,36.497,0.155,1
det,34,prep,1980736.788,1984922.904,4.186,,1
det,34,infer,1984925.422,2008502.991,23.578,0.144,1
det,35,prep,2008515.306,2013291.650,4.776,,1
det,35,infer,2013294.206,2034336.638,21.042,0.146,1
det,36,prep,2034427.732,2040308.698,5.881,,1
det,36,infer,2040310.735,2064791.220,24.480,0.140,1
det,37,prep,2064866.462,2072750.707,7.884,,1
det,37,infer,2072752.800,2096485.185,23.732,0.138,1
det,38,prep,2096554.538,2101398.086,4.844,,1
det,38,infer,2101400.753,2130712.102,29.311,0.136,1
det,39,prep,2130795.565,2134334.119,3.539,,1
det,39,infer,2134336.286,2162613.976,28.278,0.138,1
det,40,prep,2162686.254,2165866.842,3.181,,1
det,40,infer,2165868.805,2193464.488,27.596,0.134,1
det,41,prep,2193476.636,2198783.837,5.307,,1
