# epoch_wall_clock_ns=1788137850859696676
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
pose,0,prep,437166.482,449245.169,12.079,,1
pose,0,infer,449248.984,489203.717,39.955,0.213,1
pose,1,prep,489299.662,492979.517,3.680,,1
pose,1,infer,492982.962,529788.253,36.805,0.152,1
pose,2,prep,529880.198,537577.504,7.697,,1
pose,2,infer,537581.227,556797.696,19.216,0.159,1
pose,3,prep,556879.326,558339.379,1.460,,1
pose,3,infer,558341.768,577318.753,18.977,0.132,1
pose,4,prep,577329.068,581359.964,4.031,,1
pose,4,infer,581362.501,600353.431,18.991,0.146,1
pose,5,prep,600432.376,604648.533,4.216,,1
pose,5,infer,604650.811,623505.813,18.855,0.147,1
pose,6,prep,623585.370,626929.129,3.344,,1
pose,6,infer,626931.906,646021.782,19.090,0.137,1
pose,7,prep,646032.411,649605.098,3.573,,1
pose,7,infer,649607.265,668468.990,18.862,0.136,1
pose,8,prep,668538.416,671974.269,3.436,,1
pose,8,infer,671975.861,691071.403,19.096,0.134,1
pose,9,prep,691081.644,696265.423,5.184,,1
pose,9,infer,696267.553,715173.370,18.906,0.139,1
pose,10,prep,715248.130,719101.561,3.853,,1
pose,10,infer,719103.450,738716.998,19.614,0.145,1
pose,11,prep,738793.573,743227.140,4.434,,1
pose,11,infer,743229.584,762649.241,19.420,0.148,1
pose,12,prep,762719.982,768904.605,6.185,,1
pose,12,infer,768907.068,805401.782,36.495,0.151,1
pose,13,prep,805488.116,810388.318,4.900,,1
pose,13,infer,810390.799,829705.195,19.314,0.149,1
pose,14,prep,829772.270,833830.685,4.058,,1
pose,14,infer,833833.666,852853.930,19.020,0.148,1
pose,15,prep,852919.041,858759.809,5.841,,1
pose,15,infer,858762.272,877625.200,18.863,0.148,1
pose,16,prep,877699.516,881624.262,3.925,,1
pose,16,infer,881626.318,900640.044,19.014,0.147,1
pose,17,prep,900703.952,905271.965,4.568,,1
pose,17,infer,905275.002,924305.969,19.031,0.154,1
pose,18,prep,924391.952,931730.199,7.338,,1
pose,18,infer,931733.587,950678.980,18.945,0.150,1
