# epoch_wall_clock_ns=1788138013185453841
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
seg,0,prep,1029806.135,1042881.388,13.075,,1
seg,0,infer,1042888.425,1070026.549,27.138,0.540,1
seg,1,prep,1070109.660,1073863.561,3.754,,1
seg,1,infer,1073865.227,1113951.862,40.087,0.149,1
seg,2,prep,1114056.548,1122037.612,7.981,,1
seg,2,infer,1122040.945,1150374.042,28.333,0.144,1
seg,3,prep,1150469.024,1151992.221,1.523,,1
seg,3,infer,1151993.814,1180687.320,28.694,0.133,1
seg,4,prep,1180697.728,1184925.595,4.228,,1
seg,4,infer,1184927.650,1212211.887,27.284,0.130,1
seg,5,prep,1212293.295,1216635.718,4.342,,1
seg,5,infer,1216637.922,1243693.286,27.055,0.143,1
seg,6,prep,1243781.564,1247238.036,3.456,,1
seg,6,infer,1247241.351,1274574.384,27.333,0.141,1
seg,7,prep,1274586.699,1278405.581,3.819,,1
seg,7,infer,1278408.600,1306877.679,28.469,0.132,1
seg,8,prep,1306966.383,1310523.078,3.557,,1
seg,8,infer,1310525.356,1337740.555,27.215,0.141,1
seg,9,prep,1337750.518,1343153.005,5.402,,1
seg,9,infer,1343154.820,1369568.864,26.414,0.145,1
seg,10,prep,1369650.106,1373728.342,4.078,,1
seg,10,infer,1373730.027,1404607.310,30.877,0.133,1
seg,11,prep,1404684.700,1409539.313,4.855,,1
seg,11,infer,1409541.627,1456415.649,46.874,0.147,1
seg,12,prep,1456501.113,1462724.866,6.224,,1
seg,12,infer,1462727.385,1490830.943,28.104,0.149,1
seg,13,prep,1490931.258,1495924.020,4.993,,1
seg,13,infer,1495926.279,1523636.334,27.710,0.136,1
seg,14,prep,1523710.557,1527963.980,4.253,,1
seg,14,infer,1527966.535,1555561.792,27.595,0.141,1
seg,15,prep,1555643.256,1561704.063,6.061,,1
seg,15,infer,1561706.712,1589928.344,28.222,0.155,1
seg,16,prep,1590030.160,1594326.676,4.297,,1
seg,16,infer,1594328.731,1642898.619,48.570,0.137,1
seg,17,prep,1642977.619,1647678.249,4.701,,1
seg,17,infer,1647681.249,1676544.850,28.864,0.146,1
seg,18,prep,1676636.591,1684106.392,7.470,,1
seg,18,infer,1684108.373,1712035.170,27.927,0.153,1
seg,19,prep,1712125.819,1715820.608,3.695,,1
seg,19,infer,1715822.423,1743448.847,27.626,0.141,1
seg,20,prep,1743519.199,1746193.702,2.675,,1
seg,20,infer,1746195.480,1773737.996,27.543,0.130,1
seg,21,prep,1773750.514,1778713.369,4.963,,1
seg,21,infer,1778715.850,1806194.606,27.479,0.193,1
seg,22,prep,1806280.348,1815756.016,9.476,,1
seg,22,infer,1815758.701,1843422.866,27.664,0.169,1
seg,23,prep,1843499.330,1846611.595,3.112,,1
seg,23,infer,1846613.077,1873831.849,27.219,0.126,1
seg,24,prep,1873844.016,1877633.786,3.790,,1
seg,24,infer,1877635.768,1904855.262,27.219,0.141,1
seg,25,prep,1904949.208,1910205.601,5.256,,1
seg,25,infer,1910207.898,1936876.777,26.669,0.142,1
seg,26,prep,1936963.351,1941339.664,4.376,,1
seg,26,infer,1941341.812,1968194.693,26.853,0.147,1
seg,27,prep,1968286.656,1973105.806,4.819,,1
seg,27,infer,1973108.584,2000535.672,27.427,0.136,1
seg,28,prep,2000614.895,2005444.600,4.830,,1
seg,28,infer,2005447.082,2032921.801,27.475,0.150,1
seg,29,prep,2033015.450,2038459.715,5.444,,1
seg,29,infer,2038461.974,2066518.846,28.057,0.145,1
seg,30,prep,2066597.921,2072328.966,5.731,,1
seg,30,infer,2072330.596,2098931.900,26.601,0.141,1
seg,31,prep,2099020.827,2104689.261,5.668,,1
seg,31,infer,2104691.539,2132563.520,27.872,0.134,1
seg,32,prep,2132640.669,2136214.364,3.574,,1
seg,32,infer,2136216.586,2196071.600,59.855,0.138,1
