# epoch_wall_clock_ns=1788137766760940760
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
seg,0,prep,550788.583,562899.276,12.111,,1
seg,0,infer,562904.313,602083.854,39.180,0.226,1
seg,1,prep,602194.522,605949.848,3.755,,1
seg,1,infer,605952.348,629615.189,23.663,0.148,1
seg,2,prep,629699.671,637260.935,7.561,,1
seg,2,infer,637263.658,661219.021,23.955,0.149,1
seg,3,prep,661294.355,662758.744,1.464,,1
seg,3,infer,662760.818,686678.255,23.917,0.133,1
seg,4,prep,686688.163,690742.030,4.054,,1
seg,4,infer,690744.178,714622.540,23.878,0.141,1
seg,5,prep,714689.023,718919.892,4.231,,1
seg,5,infer,718922.447,742838.162,23.916,0.140,1
seg,6,prep,742898.719,746221.169,3.322,,1
seg,6,infer,746223.687,770086.994,23.863,0.139,1
seg,7,prep,770097.716,773699.114,3.601,,1
seg,7,infer,773701.003,809314.905,35.614,0.132,1
seg,8,prep,809382.017,812858.766,3.477,,1
seg,8,infer,812860.803,836779.462,23.919,0.139,1
seg,9,prep,836791.684,842087.882,5.296,,1
seg,9,infer,842090.141,865932.540,23.842,0.142,1
seg,10,prep,866002.523,869858.609,3.856,,1
seg,10,infer,869860.980,893594.859,23.734,0.142,1
seg,11,prep,893655.470,898134.732,4.479,,1
seg,11,infer,898136.769,922070.984,23.934,0.145,1
seg,12,prep,922136.799,928292.397,6.156,,1
seg,12,infer,928295.119,952187.982,23.893,0.148,1
seg,13,prep,952250.890,957135.175,4.884,,1
seg,13,infer,957137.805,1003192.711,46.055,0.142,1
seg,14,prep,1003258.953,1007291.079,4.032,,1
seg,14,infer,1007293.523,1031298.887,24.005,0.146,1
seg,15,prep,1031366.314,1037277.779,5.911,,1
seg,15,infer,1037280.001,1061270.976,23.991,0.149,1
seg,16,prep,1061349.810,1065339.602,3.990,,1
seg,16,infer,1065342.269,1089215.205,23.873,0.143,1
seg,17,prep,1089275.873,1093814.746,4.539,,1
seg,17,infer,1093816.728,1117727.572,23.911,0.142,1
seg,18,prep,1117797.517,1125184.649,7.387,,1
seg,18,infer,1125187.112,1148986.696,23.800,0.144,1
seg,19,prep,1149054.215,1152651.521,3.597,,1
seg,19,infer,1152653.317,1176477.771,23.824,0.141,1
seg,20,prep,1176536.253,1179121.398,2.585,,1
seg,20,infer,1179124.324,1202672.293,23.548,0.138,1
seg,21,prep,1202683.997,1207487.003,4.803,,1
seg,21,infer,1207489.447,1231057.972,23.569,0.163,1
seg,22,prep,1231122.825,1237235.496,6.113,,1
seg,22,infer,1237237.663,1260821.873,23.584,0.142,1
seg,23,prep,1260884.114,1263903.116,3.019,,1
seg,23,infer,1263905.209,1287419.029,23.514,0.135,1
seg,24,prep,1287428.955,1291088.409,3.659,,1
seg,24,infer,1291090.650,1314728.027,23.637,0.136,1
seg,25,prep,1314790.250,1319897.723,5.107,,1
seg,25,infer,1319900.353,1343438.192,23.538,0.147,1
seg,26,prep,1343504.748,1347738.876,4.234,,1
seg,26,infer,1347742.265,1371424.291,23.682,0.145,1
seg,27,prep,1371487.459,1376142.241,4.655,,1
seg,27,infer,1376149.185,1399619.264,23.470,0.141,1
seg,28,prep,1399679.024,1404318.343,4.639,,1
seg,28,infer,1404321.269,1427761.292,23.440,0.138,1
seg,29,prep,1427827.070,1433140.249,5.313,,1
seg,29,infer,1433142.861,1456499.086,23.356,0.136,1
seg,30,prep,1456567.383,1462133.195,5.566,,1
seg,30,infer,1462136.177,1485835.055,23.699,0.137,1
seg,31,prep,1485901.019,1491361.552,5.461,,1
seg,31,infer,1491363.829,1514894.650,23.531,0.137,1
seg,32,prep,1514955.965,1518339.101,3.383,,1
seg,32,infer,1518341.638,1541845.384,23.504,0.138,1
seg,33,prep,1541908.459,1546334.868,4.426,,1
seg,33,infer,1546336.997,1569982.856,23.646,0.141,1
seg,34,prep,1570049.246,1574173.836,4.125,,1
seg,34,infer,1574175.669,1597735.694,23.560,0.133,1
seg,35,prep,1597746.694,1602423.661,4.677,,1
seg,35,infer,1602425.994,1640149.163,37.723,0.135,1
seg,36,prep,1640228.776,1646281.001,6.052,,1
seg,36,infer,1646287.631,1669723.561,23.436,0.140,1
seg,37,prep,1669787.747,1677579.495,7.792,,1
seg,37,infer,1677582.051,1701247.077,23.665,0.139,1
seg,38,prep,1701309.670,1705894.692,4.585,,1
seg,38,infer,1705897.247,1729670.034,23.773,0.135,1
seg,39,prep,1729731.812,1733220.950,3.489,,1
seg,39,infer,1733223.320,1757140.756,23.917,0.137,1
seg,40,prep,1757198.979,1760213.499,3.015,,1
seg,40,infer,1760216.296,1784104.528,23.888,0.131,1
seg,41,prep,1784114.862,1789288.428,5.174,,1
seg,41,infer,1789290.169,1812968.583,23.678,0.128,1
seg,42,prep,1813034.603,1817434.789,4.400,,1
seg,42,infer,1817437.419,1865032.992,47.596,0.136,1
