# epoch_wall_clock_ns=1787814270526139552
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,0,prep,1280136.838,1293163.379,13.027,,1
det,0,infer,1293167.545,1333185.629,40.018,0.176,1
det,1,prep,1333289.221,1337065.384,3.776,,1
det,1,infer,1337068.050,1362987.446,25.919,0.133,1
det,2,prep,1363069.224,1370730.493,7.661,,1
det,2,infer,1370732.900,1395850.612,25.118,0.135,1
det,3,prep,1395936.760,1397422.777,1.486,,1
det,3,infer,1397424.333,1430827.683,33.403,0.113,1
det,4,prep,1430839.979,1435061.771,4.222,,1
det,4,infer,1435063.697,1460585.926,25.522,0.131,1
det,5,prep,1460668.037,1464987.588,4.320,,1
det,5,infer,1464989.792,1495288.312,30.299,0.137,1
det,6,prep,1495368.627,1498829.605,3.461,,1
det,6,infer,1498831.827,1525699.611,26.868,0.128,1
det,7,prep,1525712.314,1529440.810,3.728,,1
det,7,infer,1529442.866,1555326.002,25.883,0.125,1
det,8,prep,1555400.336,1558962.683,3.562,,1
det,8,infer,1558964.331,1585018.857,26.055,0.124,1
det,9,prep,1585030.801,1590330.258,5.299,,1
det,9,infer,1590332.240,1615660.618,25.328,0.143,1
det,10,prep,1615743.914,1619723.261,3.979,,1
det,10,infer,1619725.021,1647009.434,27.284,0.128,1
det,11,prep,1647092.508,1651961.946,4.869,,1
det,11,infer,1651964.113,1677991.046,26.027,0.129,1
det,12,prep,1678077.101,1684294.724,6.218,,1
det,12,infer,1684296.891,1710849.915,26.553,0.132,1
det,13,prep,1710934.582,1715873.021,4.938,,1
det,13,infer,1715875.391,1741398.954,25.524,0.129,1
det,14,prep,1741480.825,1745612.820,4.132,,1
det,14,infer,1745615.098,1771017.328,25.402,0.132,1
det,15,prep,1771095.939,1777097.302,6.001,,1
det,15,infer,1777099.728,1802979.346,25.880,0.137,1
det,16,prep,1803073.605,1807084.842,4.011,,1
det,16,infer,1807087.045,1832980.571,25.894,0.133,1
det,17,prep,1833059.515,1837691.769,4.632,,1
det,17,infer,1837693.936,1862072.834,24.379,0.134,1
