run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,1,1,0,0,0,0,6.15944,NaN,NaN,59.4059,12.4311,944,94,NaN,NaN,NaN,3.56802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.55612,NaN,NaN,4.56615,NaN,NaN,0.00757852,NaN,NaN,10.7332,NaN,NaN
2,1,0,0,1,1,1,1,1,1,0,0,0,0,5.99142,NaN,NaN,59.9174,11.3561,909,83,NaN,NaN,NaN,3.60851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.59658,NaN,NaN,4.62475,NaN,NaN,0.00686605,NaN,NaN,10.623,NaN,NaN
3,1,0,0,1,1,1,1,1,1,0,0,0,0,6.08704,NaN,NaN,59.8177,11.1108,807,64,NaN,NaN,NaN,3.59465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.58267,NaN,NaN,4.60567,NaN,NaN,0.00847092,NaN,NaN,10.7012,NaN,NaN
4,1,1,0,1,1,1,1,1,1,0,0,0,0,695.392,731.059,NaN,40.7103,12.2679,8383,7068,NaN,NaN,NaN,46.8482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.7871,46.6754,NaN,6.7767,5.77804,NaN,0.0109754,38.2142,NaN,702.179,775.051,NaN
5,1,1,0,1,1,1,1,1,1,0,0,0,0,717.305,725.624,NaN,40.4975,12.3075,8423,6108,NaN,NaN,NaN,47.0345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.1499,46.8625,NaN,6.68841,5.5696,NaN,0.00871071,38.3136,NaN,724.002,769.507,NaN
6,1,1,0,1,1,1,1,1,1,0,0,0,0,729.453,726.725,NaN,40.6278,12.2683,8463,7630,NaN,NaN,NaN,47.4681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.8719,47.2962,NaN,6.78149,5.67567,NaN,0.00897371,38.2114,NaN,736.243,770.612,NaN
7,1,0,1,1,1,1,1,1,1,0,0,0,0,600.662,NaN,506.309,27.0984,11.5926,7815,4418,NaN,NaN,NaN,36.999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.9855,NaN,36.9567,5.69384,NaN,5.63348,0.00773233,NaN,0.157653,606.364,NaN,512.1
8,1,0,1,1,1,1,1,1,1,0,0,0,0,603.703,NaN,509.202,27.2353,11.5837,7865,3722,NaN,NaN,NaN,37.1858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.1713,NaN,37.1466,5.72954,NaN,5.60131,0.00743087,NaN,0.162379,609.44,NaN,514.966
9,1,0,1,1,1,1,1,1,1,0,0,0,0,604.369,NaN,511.079,27.0061,11.4838,7913,2989,NaN,NaN,NaN,37.2963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.2201,NaN,37.2783,5.52023,NaN,5.47894,0.00916271,NaN,0.154448,609.898,NaN,516.713
10,1,1,1,1,1,1,1,1,1,0,0,0,0,1536.89,1303.99,1285.92,33.3976,13.5772,14945,8865,100.0000,19.9090,0.0000,93.9967,6.6250,20.2180,40.7560,0.5940,6.6360,36.7110,86.9470,0.5770,6.6360,20.5600,98.5970,0.5970,93.7566,93.8268,93.7481,5.81084,5.16821,6.3912,0.00865411,38.6321,0.154218,1542.71,1347.79,1292.46
11,1,1,1,1,1,1,1,1,1,0,0,0,0,1542.02,1307.74,1290.33,33.4106,12.8616,14899,8304,100.0000,19.7270,0.0010,94.3236,6.5680,20.3630,39.1160,0.5810,6.5790,36.8140,74.1530,0.5840,6.5790,21.0520,98.6500,0.6150,94.0686,94.1503,94.0612,5.7659,5.16404,6.24405,0.00812919,38.4717,0.154389,1547.8,1351.38,1296.72
12,1,1,1,1,1,1,1,1,1,0,0,0,0,1541.91,1307.96,1290.22,33.806,13.413,14786,9308,99.9970,19.7310,0.0030,94.3205,6.5690,20.2860,42.7400,0.5880,6.5810,36.9850,71.6090,0.5860,6.5690,19.7010,99.3870,0.6020,94.07,94.1486,94.0605,5.75117,5.14749,6.28093,0.0121653,38.5851,0.152778,1547.68,1351.69,1296.66
13,1,0,0,1,1,1,1,1,1,0,0,0,0,5.9686,NaN,NaN,58.8194,19.4505,903,364,NaN,NaN,NaN,3.59814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.58596,NaN,NaN,4.60325,NaN,NaN,0.00801819,NaN,NaN,10.5799,NaN,NaN
14,1,0,0,1,1,1,1,1,1,0,0,0,0,6.03226,NaN,NaN,59.8361,18.0923,886,311,NaN,NaN,NaN,3.65778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6415,NaN,NaN,4.68847,NaN,NaN,0.00839583,NaN,NaN,10.7291,NaN,NaN
