run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,1,1,0,0,0,0,4.59665,NaN,NaN,56.4175,12.9151,831,96,NaN,NaN,NaN,3.55384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5418,NaN,NaN,4.56162,NaN,NaN,0.00713195,NaN,NaN,9.1654,NaN,NaN
2,1,0,0,1,1,1,1,1,1,0,0,0,0,4.62641,NaN,NaN,55.8273,12.0872,1124,95,NaN,NaN,NaN,3.48665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.47462,NaN,NaN,4.46529,NaN,NaN,0.00870708,NaN,NaN,9.10041,NaN,NaN
3,1,0,0,1,1,1,1,1,1,0,0,0,0,4.63674,NaN,NaN,55.4506,11.41,1091,75,NaN,NaN,NaN,3.4755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.46352,NaN,NaN,4.44977,NaN,NaN,0.00783463,NaN,NaN,9.09435,NaN,NaN
4,1,1,0,1,1,1,1,1,1,0,0,0,0,116.524,709.604,NaN,39.0803,12.3885,7899,3692,NaN,NaN,NaN,27.5899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.14546,27.4204,NaN,5.5661,5.64621,NaN,0.0103178,36.4798,NaN,122.1,751.73,NaN
5,1,1,0,1,1,1,1,1,1,0,0,0,0,116.829,710.11,NaN,38.9719,12.386,8008,4231,NaN,NaN,NaN,27.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.16224,27.438,NaN,5.64353,5.71545,NaN,0.0126565,36.4349,NaN,122.485,752.26,NaN
6,1,1,0,1,1,1,1,1,1,0,0,0,0,115.77,709.45,NaN,38.6634,12.4465,7971,4022,NaN,NaN,NaN,27.6589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.10966,27.4875,NaN,5.65676,5.69932,NaN,0.0155057,36.4477,NaN,121.442,751.597,NaN
7,1,0,1,1,1,1,1,1,1,0,0,0,0,316.216,NaN,261.571,24.2803,11.7481,7576,2791,NaN,NaN,NaN,19.6825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6687,NaN,19.6578,5.23327,NaN,5.97278,0.00772652,NaN,0.164223,321.457,NaN,267.708
8,1,0,1,1,1,1,1,1,1,0,0,0,0,316.475,NaN,261.67,23.647,11.5546,7583,3395,NaN,NaN,NaN,19.6736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6602,NaN,19.6495,4.91413,NaN,5.7218,0.00779472,NaN,0.15335,321.397,NaN,267.546
9,1,0,1,1,1,1,1,1,1,0,0,0,0,316.465,NaN,261.742,23.3269,11.5581,7599,3189,NaN,NaN,NaN,19.6836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6691,NaN,19.6582,5.05053,NaN,5.79565,0.00724042,NaN,0.157341,321.522,NaN,267.695
10,1,1,1,1,1,1,1,1,1,0,0,0,0,557.465,543.708,459.576,39.8962,12.798,14655,9432,NaN,NaN,NaN,34.8542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5557,34.6697,34.5457,5.89152,5.55427,6.8402,0.00920697,38.36,0.158576,563.365,587.622,466.575
11,1,1,1,1,1,1,1,1,1,0,0,0,0,555.56,542.318,458.248,39.9928,12.9151,14456,9179,NaN,NaN,NaN,34.7511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.454,34.5794,34.4446,5.85761,5.57704,6.82834,0.00920987,38.333,0.156885,561.427,586.228,465.233
12,1,1,1,1,1,1,1,1,1,0,0,0,0,556.707,543.787,458.881,39.9029,12.8247,14594,9842,NaN,NaN,NaN,34.7594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5157,34.5865,34.5052,5.95064,5.58665,6.92806,0.00993975,38.4544,0.161112,562.667,587.828,465.97
