run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,1,1,0,0,0,0,152.881,NaN,NaN,23.3098,20.4009,1336,748,NaN,NaN,NaN,9.62532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6129,NaN,NaN,4.91882,NaN,NaN,0.0110146,NaN,NaN,157.81,NaN,NaN
2,1,0,0,1,1,1,1,1,1,0,0,0,0,152.921,NaN,NaN,22.6509,20.1188,1337,760,NaN,NaN,NaN,9.62351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61139,NaN,NaN,4.81591,NaN,NaN,0.00992016,NaN,NaN,157.747,NaN,NaN
3,1,0,0,1,1,1,1,1,1,0,0,0,0,152.94,NaN,NaN,22.8834,19.8167,1336,661,NaN,NaN,NaN,9.6242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6121,NaN,NaN,4.88137,NaN,NaN,0.0102496,NaN,NaN,157.832,NaN,NaN
4,1,1,0,1,1,1,1,1,1,0,0,0,0,792.667,826.05,NaN,40.6799,20.3594,8146,5489,NaN,NaN,NaN,59.2095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0867,59.0373,NaN,5.46775,5.15087,NaN,0.0106914,37.6213,NaN,798.145,868.822,NaN
5,1,1,0,1,1,1,1,1,1,0,0,0,0,788.93,822.028,NaN,41.0349,20.4536,8187,5563,NaN,NaN,NaN,58.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.8227,58.7699,NaN,5.57967,5.11583,NaN,0.0105358,37.6231,NaN,794.52,864.767,NaN
6,1,1,0,1,1,1,1,1,1,0,0,0,0,795.642,829.386,NaN,40.7169,20.3569,8204,4954,NaN,NaN,NaN,59.4241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.3012,59.2525,NaN,5.51006,5.09479,NaN,0.0103725,37.5291,NaN,801.162,872.01,NaN
7,1,0,1,1,1,1,1,1,1,0,0,0,0,670.94,NaN,675.776,30.7228,19.7797,7830,3405,NaN,NaN,NaN,49.9109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.896,NaN,49.8432,5.07818,NaN,5.28689,0.00949718,NaN,0.149182,676.028,NaN,681.212
8,1,0,1,1,1,1,1,1,1,0,0,0,0,670.712,NaN,676.795,30.8054,19.9369,7822,2724,NaN,NaN,NaN,49.9145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.8498,NaN,49.8989,5.04077,NaN,5.27848,0.00965498,NaN,0.154758,675.762,NaN,682.228
9,1,0,1,1,1,1,1,1,1,0,0,0,0,678.788,NaN,686.915,30.8893,19.8404,7842,2978,NaN,NaN,NaN,50.5861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4651,NaN,50.55,5.04933,NaN,5.3281,0.0098175,NaN,0.165027,683.847,NaN,692.408
10,1,1,1,1,1,1,1,1,1,0,0,0,0,1316.89,1347.83,1336.28,35.3621,21.0261,14749,9201,99.9980,18.8810,0.0010,98.1239,6.2900,26.1030,36.5330,15.4080,6.2900,33.7270,69.8680,1.9930,6.2900,18.5420,90.3030,0.9200,97.9959,97.948,97.9609,5.39826,5.04146,6.33899,0.0108325,38.6711,0.157488,1322.3,1391.54,1342.78
