run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,1,1,1,1,1,1,1,1,0,0,0,0,700.53,719.206,694.414,40.4738,21.2541,16416,18102,NaN,NaN,NaN,52.3039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.1791,52.127,52.1424,5.61794,7.01204,7.14797,0.0107179,39.3374,0.176184,706.159,765.555,701.738
1,1,1,1,1,1,1,1,1,1,0,0,0,0,693.395,715.697,687.962,39.8691,21.1279,14323,13050,NaN,NaN,NaN,51.8244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.6243,51.6503,51.6657,5.4798,5.04382,7.0896,0.0104081,38.9295,0.182778,698.885,759.67,695.235
2,1,0,0,1,1,1,1,1,1,0,0,0,0,152.874,NaN,NaN,22.0357,20.2283,1338,665,NaN,NaN,NaN,9.62956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61719,NaN,NaN,4.92733,NaN,NaN,0.00945256,NaN,NaN,157.811,NaN,NaN
3,1,0,0,1,1,1,1,1,1,0,0,0,0,152.51,NaN,NaN,22.7201,20.0856,1336,616,NaN,NaN,NaN,9.61753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60528,NaN,NaN,5.12194,NaN,NaN,0.00935788,NaN,NaN,157.642,NaN,NaN
4,1,0,0,1,1,1,1,1,1,0,0,0,0,152.36,NaN,NaN,23.3998,20.2006,1337,956,NaN,NaN,NaN,9.62235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61039,NaN,NaN,5.39511,NaN,NaN,0.0106196,NaN,NaN,157.766,NaN,NaN
5,1,1,0,1,1,1,1,1,1,0,0,0,0,531.791,576.166,NaN,45.0773,20.6432,8226,5435,NaN,NaN,NaN,39.6755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.5054,39.5041,NaN,5.73483,5.26298,NaN,0.0103957,37.2736,NaN,537.536,618.702,NaN
6,1,1,0,1,1,1,1,1,1,0,0,0,0,532.628,576.737,NaN,44.8626,20.4205,8218,5161,NaN,NaN,NaN,39.8025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.5786,39.6297,NaN,5.74937,5.20474,NaN,0.0107487,37.1788,NaN,538.388,619.12,NaN
7,1,1,0,1,1,1,1,1,1,0,0,0,0,531.157,574.593,NaN,44.9727,20.6477,8261,5650,NaN,NaN,NaN,39.6307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.4774,39.4596,NaN,5.73859,5.21411,NaN,0.0131393,37.0732,NaN,536.909,616.881,NaN
8,1,0,1,1,1,1,1,1,1,0,0,0,0,480.101,NaN,473.237,30.5518,20.0641,7330,5390,NaN,NaN,NaN,35.5909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.5586,NaN,35.5726,4.95342,NaN,5.80592,0.0093216,NaN,0.15245,485.063,NaN,479.195
9,1,0,1,1,1,1,1,1,1,0,0,0,0,480.97,NaN,474.497,30.6406,20.168,7289,4386,NaN,NaN,NaN,35.6539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.6223,NaN,35.6406,4.9713,NaN,5.78089,0.00919101,NaN,0.157095,485.951,NaN,480.435
10,1,0,1,1,1,1,1,1,1,0,0,0,0,481.087,NaN,473.849,30.9238,20.1486,7414,5662,NaN,NaN,NaN,35.6388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.625,NaN,35.591,4.98116,NaN,5.81864,0.00894977,NaN,0.163553,486.077,NaN,479.832
11,1,1,1,1,1,1,1,1,1,0,0,0,0,692.48,713.838,686.507,40.1333,20.8466,14187,11383,NaN,NaN,NaN,51.7034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.5781,51.5299,51.5427,5.61465,5.05005,7.06818,0.0103072,38.9056,0.162872,698.105,757.794,693.739
