run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,1,1,1,1,1,1,1,1,0,15,15,15,841.007,786.451,698.397,40.6212,32.9431,15925,10887,85.7345,25.9410,0.0020,51.6577,8.6600,15.8780,29.5100,0.6890,8.6220,26.4820,48.1840,0.7660,8.6220,17.3980,64.9790,0.6560,51.2814,51.4745,51.3179,5.29235,0.0185866,43.9468,0.20242,846.318,835.69,703.892
2,1,1,1,1,1,1,1,1,1,0,15,15,15,842.501,782.284,699.764,40.7914,32.7611,15886,11065,85.6451,25.8480,0.0010,51.6995,8.6410,15.5600,25.3960,0.6950,8.6030,26.4630,48.0760,0.7630,8.6030,17.5000,75.5890,0.7190,51.3638,51.5205,51.4049,5.22981,0.014244,43.9246,0.19561,847.745,831.438,705.189
3,1,1,1,1,1,1,1,1,1,0,15,15,15,843.683,784.914,699.964,40.9011,33.1746,15942,11087,85.9900,25.7210,0.0100,51.7269,8.5740,15.6600,30.7960,0.6650,8.5740,26.9230,55.5840,0.6780,8.5740,17.7560,70.6120,0.7530,51.433,51.5517,51.4159,5.25808,0.0151628,43.7619,0.189551,848.956,833.934,705.411
1,1,1,1,1,1,16,1,1,1,0,15,15,15,544.169,1147.8,1173.27,40.8063,33.8865,14840,11247,64.3796,7.0870,0.0010,55.5833,2.7200,21.4580,63.6890,0.7040,2.7200,36.5580,89.9380,0.6090,25.7830,244.8870,862.3430,0.7760,32.803,55.4113,21.4474,5.33137,0.0327232,41.5352,0.175173,549.533,1194.67,1178.78
2,1,1,1,1,1,16,1,1,1,0,15,15,15,554.736,1135.95,1113.57,40.777,33.8641,14937,10811,64.7015,7.5680,0.0010,55.2067,2.9430,18.8370,66.6100,0.8450,2.9430,36.3080,90.1510,0.6690,25.7220,233.3100,785.0690,0.8600,33.2676,55.0269,20.4955,5.28075,0.0251842,41.4075,0.176017,560.042,1182.64,1119.03
3,1,1,1,1,1,16,1,1,1,0,15,15,15,552.665,1138.85,1121.24,40.2924,33.7716,14962,10534,64.6213,7.4720,0.0020,55.2802,2.9120,18.2950,49.4570,0.8350,2.9120,35.7360,83.8180,0.8030,25.7890,233.0610,800.4590,0.6580,33.2479,55.1049,20.7641,5.32409,0.0311735,41.5581,0.180201,558.02,1185.74,1126.75
1,1,1,1,1,1,32,1,1,1,0,15,15,15,551.902,1143.92,1722.13,40.0266,34.5814,14920,10402,64.6462,6.6090,0.0090,55.3089,2.8820,20.1790,49.6990,0.7590,2.8820,41.3000,60.1450,0.6860,25.8580,409.2830,1569.9920,0.9240,33.176,55.1294,17.3687,5.26476,0.0212859,41.304,0.17923,557.188,1190.49,1727.57
2,1,1,1,1,1,32,1,1,1,0,15,15,15,553.497,1134.64,1685.75,40.3695,34.6696,14862,9509,64.7536,6.8300,0.0170,55.0157,2.9930,20.3420,63.7770,0.7710,2.9930,40.1140,63.7720,0.8290,25.8240,399.9580,1471.0690,0.6270,33.174,54.841,16.9679,5.24367,0.0251577,41.1847,0.17617,558.766,1181.07,1691.17
3,1,1,1,1,1,32,1,1,1,0,15,15,15,551.81,1132.96,1677.69,40.1711,34.0779,14886,9371,66.4983,6.8140,0.0150,54.9399,2.9640,19.5120,63.4780,0.7240,2.9640,39.9700,96.1940,0.6290,25.9080,399.9410,1394.8410,1.0790,33.1357,54.7662,16.9556,5.35247,0.0198537,41.17,0.178603,557.183,1179.48,1683.22
1,1,1,1,1,1,48,1,1,1,0,15,15,15,557.508,1141.47,2331.3,39.9779,36.0119,14907,9754,66.8431,5.9330,0.0010,55.2964,2.6580,20.2300,43.6620,0.7800,2.6970,40.4220,86.5030,0.5970,25.9280,594.3040,2193.7250,0.8970,33.4761,55.1155,17.1297,5.25947,0.0184974,41.2454,0.178967,562.786,1187.97,2336.74
