run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,0,0,10,1,1,1,0,0,0,0,563.515,NaN,NaN,13.133,23.8179,1455,153,93.3700,5.5440,0.0020,12.4523,54.0730,159.0630,204.7730,0.5510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4516,NaN,NaN
2,1,0,0,10,1,1,1,0,0,0,0,565.733,NaN,NaN,13.0728,23.5632,1423,136,96.9464,5.5150,0.0020,12.5176,53.7930,159.7290,197.6020,0.5490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5169,NaN,NaN
3,1,0,0,10,1,1,1,0,0,0,0,566.595,NaN,NaN,12.9982,24.068,1454,150,97.2591,5.5040,0.0020,12.5432,53.6820,159.7700,201.1870,0.5340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5424,NaN,NaN
1,1,0,0,10,1,1,1,0,15,0,0,564.138,NaN,NaN,12.8733,23.8683,1433,167,97.4709,5.5350,0.0020,12.4723,53.9860,159.3410,197.4370,0.5440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4716,NaN,NaN
2,1,0,0,10,1,1,1,0,15,0,0,567.358,NaN,NaN,12.8656,23.7083,1408,166,96.8691,5.4990,0.0020,12.5557,53.6310,159.7480,200.2930,0.5400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5549,NaN,NaN
3,1,0,0,10,1,1,1,0,15,0,0,566.03,NaN,NaN,12.9482,23.9423,1421,164,97.3464,5.5140,0.0020,12.5201,53.7800,159.6020,198.0680,0.5430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5194,NaN,NaN
1,1,0,0,10,1,1,1,0,31,0,0,569.057,NaN,NaN,13.3591,23.8197,1461,179,96.7982,5.4780,0.0020,12.6033,53.4270,160.2510,202.3860,0.5500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6026,NaN,NaN
2,1,0,0,10,1,1,1,0,31,0,0,566.666,NaN,NaN,13.1627,23.7663,1443,172,97.1082,5.5060,0.0020,12.5391,53.7020,159.4480,198.5050,0.5450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5384,NaN,NaN
3,1,0,0,10,1,1,1,0,31,0,0,565.344,NaN,NaN,12.8026,23.8344,1429,145,97.1182,5.5210,0.0020,12.5035,53.8500,159.6070,199.5340,0.5390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5028,NaN,NaN
1,0,1,0,10,1,1,1,0,0,0,0,NaN,804.295,NaN,16.0497,24.2341,7667,20,95.8494,3.7190,0.0020,18.5582,NaN,NaN,NaN,NaN,36.2700,247.4760,461.5170,0.8290,NaN,NaN,NaN,NaN,NaN,18.5575,NaN
2,0,1,0,10,1,1,1,0,0,0,0,NaN,794.843,NaN,15.6761,24.0535,7673,14,97.9300,3.7570,0.0020,18.3673,NaN,NaN,NaN,NaN,36.6480,244.8540,469.3650,0.8490,NaN,NaN,NaN,NaN,NaN,18.3666,NaN
3,0,1,0,10,1,1,1,0,0,0,0,NaN,803.611,NaN,16.255,24.0654,7699,8,97.6753,3.7140,0.0020,18.5821,NaN,NaN,NaN,NaN,36.2240,247.0690,483.6920,0.8270,NaN,NaN,NaN,NaN,NaN,18.5815,NaN
1,0,1,0,10,1,1,1,0,0,15,0,NaN,805.276,NaN,16.0303,24.1574,7684,8,98.1176,3.7110,0.0020,18.598,NaN,NaN,NaN,NaN,36.1930,247.4800,466.0750,0.8230,NaN,NaN,NaN,NaN,NaN,18.5973,NaN
2,0,1,0,10,1,1,1,0,0,15,0,NaN,800.198,NaN,15.9589,24.4912,7674,15,98.0965,3.7350,0.0020,18.4783,NaN,NaN,NaN,NaN,36.4270,246.4820,457.2210,0.8330,NaN,NaN,NaN,NaN,NaN,18.4776,NaN
3,0,1,0,10,1,1,1,0,0,15,0,NaN,797.024,NaN,15.9186,24.3129,7675,14,97.9600,3.7490,0.0030,18.4097,NaN,NaN,NaN,NaN,36.5630,245.4290,455.2710,0.8810,NaN,NaN,NaN,NaN,NaN,18.409,NaN
1,0,1,0,10,1,1,1,0,0,31,0,NaN,792.981,NaN,15.7976,24.3027,7699,16,97.9582,3.7720,0.0020,18.2976,NaN,NaN,NaN,NaN,36.7870,244.9340,453.5610,0.8280,NaN,NaN,NaN,NaN,NaN,18.2969,NaN
2,0,1,0,10,1,1,1,0,0,31,0,NaN,811.93,NaN,16.4753,24.1267,7679,16,95.4494,3.6790,0.0020,18.7592,NaN,NaN,NaN,NaN,35.8820,248.5140,463.9080,0.8240,NaN,NaN,NaN,NaN,NaN,18.7584,NaN
3,0,1,0,10,1,1,1,0,0,31,0,NaN,798.073,NaN,15.8239,24.2256,7671,9,95.4311,3.7440,0.0020,18.4335,NaN,NaN,NaN,NaN,36.5160,245.7170,462.3480,0.8370,NaN,NaN,NaN,NaN,NaN,18.4328,NaN
1,0,0,1,10,1,1,1,0,0,0,0,NaN,NaN,615.624,16.3643,23.7641,6975,9,97.2477,4.7830,0.0040,14.4276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.6560,188.7850,348.3810,0.6090,NaN,NaN,14.4269
2,0,0,1,10,1,1,1,0,0,0,0,NaN,NaN,620.506,16.9855,23.8167,6958,15,97.0523,4.7660,0.0020,14.4803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.4860,191.1990,353.8180,0.5390,NaN,NaN,14.4796
3,0,0,1,10,1,1,1,0,0,0,0,NaN,NaN,616.407,16.6042,23.9068,6963,10,97.9608,4.7950,0.0020,14.3932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.7670,189.5870,355.2690,0.5250,NaN,NaN,14.3925
1,0,0,1,10,1,1,1,0,0,0,15,NaN,NaN,617.618,16.8091,23.8774,6983,17,97.1931,4.7880,0.0020,14.4143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.6990,190.8860,353.1670,0.5150,NaN,NaN,14.4136
2,0,0,1,10,1,1,1,0,0,0,15,NaN,NaN,616.294,16.875,23.9844,6965,7,97.0408,4.7960,0.0030,14.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.7810,190.0520,353.3190,0.5410,NaN,NaN,14.3883
3,0,0,1,10,1,1,1,0,0,0,15,NaN,NaN,620.265,16.7582,23.804,6974,5,97.6685,4.7630,0.0020,14.4896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.4560,190.9800,356.1110,0.5450,NaN,NaN,14.489
1,0,0,1,10,1,1,1,0,0,0,31,NaN,NaN,615.944,16.5389,23.709,6952,10,97.6177,4.7900,0.0020,14.4084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.7190,189.2100,344.6360,0.5250,NaN,NaN,14.4077
2,0,0,1,10,1,1,1,0,0,0,31,NaN,NaN,616.479,16.8541,23.6303,6962,12,97.6369,4.8020,0.0020,14.3734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.8320,190.3090,352.9260,0.5280,NaN,NaN,14.3727
3,0,0,1,10,1,1,1,0,0,0,31,NaN,NaN,616.738,16.5746,23.9552,6962,9,97.6485,4.7900,0.0020,14.4075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.7210,190.2980,354.1290,0.5310,NaN,NaN,14.4068
