run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,0,16,16,16,419.245,NaN,NaN,14.3297,11.6516,2986,677,99.2076,NaN,NaN,22.0447,27.2400,286.0170,288.6590,0.1960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0319,NaN,NaN,7.30095,NaN,NaN,0.0092391,NaN,NaN,426.555,NaN,NaN
2,1,0,0,1,1,1,1,0,16,16,16,419.304,NaN,NaN,13.7311,11.6498,2989,716,99.2110,NaN,NaN,22.0511,27.2320,285.9810,288.6280,0.1860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0379,NaN,NaN,7.48506,NaN,NaN,0.00890869,NaN,NaN,426.798,NaN,NaN
3,1,0,0,1,1,1,1,0,16,16,16,419.186,NaN,NaN,13.2817,11.5319,2989,658,99.2095,NaN,NaN,22.0474,27.2360,285.9690,288.5480,0.1890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0351,NaN,NaN,7.44898,NaN,NaN,0.00954915,NaN,NaN,426.645,NaN,NaN
1,0,1,0,1,1,1,1,0,16,16,16,NaN,790.971,NaN,40.5896,11.9778,6709,3689,92.7913,NaN,NaN,32.7188,NaN,NaN,NaN,NaN,18.1220,427.1970,931.6170,0.2050,NaN,NaN,NaN,NaN,NaN,32.6871,NaN,NaN,8.12257,NaN,NaN,46.4262,NaN,NaN,845.519,NaN
2,0,1,0,1,1,1,1,0,16,16,16,NaN,787.36,NaN,40.7013,11.9503,6725,3764,93.0194,NaN,NaN,32.6624,NaN,NaN,NaN,NaN,18.1440,426.6830,917.6190,0.2140,NaN,NaN,NaN,NaN,NaN,32.6303,NaN,NaN,8.11478,NaN,NaN,46.1127,NaN,NaN,841.587,NaN
3,0,1,0,1,1,1,1,0,16,16,16,NaN,783.869,NaN,40.224,11.9291,6713,3867,92.6242,NaN,NaN,32.5897,NaN,NaN,NaN,NaN,18.1900,426.3760,962.0280,0.2040,NaN,NaN,NaN,NaN,NaN,32.5577,NaN,NaN,7.9399,NaN,NaN,46.1619,NaN,NaN,837.97,NaN
1,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,346.9,17.5588,11.577,6092,550,99.2010,NaN,NaN,21.8048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5360,278.7530,283.1400,0.1950,NaN,NaN,21.7919,NaN,NaN,7.24519,NaN,NaN,0.18949,NaN,NaN,354.335
2,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.048,17.8798,11.5089,6105,599,99.1675,NaN,NaN,21.8025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5410,278.5550,283.2160,0.1980,NaN,NaN,21.7897,NaN,NaN,7.21553,NaN,NaN,0.191193,NaN,NaN,354.455
3,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.025,18.4672,11.4468,6098,587,99.1895,NaN,NaN,21.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5360,278.6450,283.2140,0.1970,NaN,NaN,21.7922,NaN,NaN,7.21812,NaN,NaN,0.190005,NaN,NaN,354.433
1,1,1,0,1,1,1,1,0,16,16,16,1069.65,920.345,NaN,25.8846,12.4366,9571,4680,95.5011,NaN,NaN,57.7381,9.7600,33.7010,38.9460,0.5850,9.7930,46.5100,185.8600,0.6190,NaN,NaN,NaN,NaN,57.675,57.7058,NaN,7.49076,7.42403,NaN,0.0120654,48.0294,NaN,1077.15,975.798,NaN
2,1,1,0,1,1,1,1,0,16,16,16,1071.49,922.328,NaN,26.4463,12.4854,9562,4457,95.5128,NaN,NaN,57.8358,9.7480,33.6900,42.9910,0.5760,9.7480,46.6670,181.6740,0.6200,NaN,NaN,NaN,NaN,57.7702,57.8027,NaN,7.54337,7.63413,NaN,0.0122205,48.179,NaN,1079.05,978.141,NaN
3,1,1,0,1,1,1,1,0,16,16,16,1067.46,919.22,NaN,26.3974,12.4056,9567,4972,95.6934,NaN,NaN,57.6234,9.8250,33.7000,40.9930,0.5730,9.8250,47.1370,185.1570,0.6070,NaN,NaN,NaN,NaN,57.5627,57.5894,NaN,7.53658,7.37416,NaN,0.0123853,47.8873,NaN,1075.01,974.482,NaN
1,1,0,1,1,1,1,1,0,16,16,16,927.007,NaN,764.421,13.7026,12.1373,8974,1226,94.7994,NaN,NaN,49.8503,11.4120,33.0370,33.6860,0.5780,NaN,NaN,NaN,NaN,11.4120,32.2560,34.8830,0.5780,49.8345,NaN,49.7962,7.72405,NaN,7.53731,0.0092749,NaN,0.196722,934.74,NaN,772.155
2,1,0,1,1,1,1,1,0,16,16,16,925.711,NaN,764.519,13.8098,12.0965,8965,1169,94.8471,NaN,NaN,49.8267,11.4510,33.0320,35.0960,0.5720,NaN,NaN,NaN,NaN,11.4170,32.3740,34.9560,0.5830,49.7758,NaN,49.8103,7.80275,NaN,7.60181,0.00974487,NaN,0.196453,933.523,NaN,772.318
3,1,0,1,1,1,1,1,0,16,16,16,928.322,NaN,765.592,13.7557,12.1574,8977,1065,94.8184,NaN,NaN,49.9258,11.3880,33.0290,34.2250,0.5760,NaN,NaN,NaN,NaN,11.3880,32.2950,34.9370,0.5790,49.9101,NaN,49.872,7.81865,NaN,7.53147,0.00938314,NaN,0.194674,936.15,NaN,773.318
1,0,1,1,1,1,1,1,0,16,16,16,NaN,946.483,908.175,26.247,12.4679,12582,4548,95.3766,NaN,NaN,59.5133,NaN,NaN,NaN,NaN,9.1210,45.6530,169.3630,0.5830,9.1540,34.0370,47.7800,0.5810,NaN,59.474,59.3578,NaN,7.57118,7.46402,NaN,48.5916,0.181311,NaN,1002.65,915.82
2,0,1,1,1,1,1,1,0,16,16,16,NaN,943.72,906.259,26.7031,12.5146,12583,4719,95.3507,NaN,NaN,59.3214,NaN,NaN,NaN,NaN,9.1800,45.5370,170.3880,0.5840,9.1800,33.7270,54.8690,0.5940,NaN,59.2866,59.2547,NaN,7.57217,7.58868,NaN,48.3895,0.179516,NaN,999.682,914.027
3,0,1,1,1,1,1,1,0,16,16,16,NaN,942.953,904.05,26.6907,12.5229,12582,4539,95.3191,NaN,NaN,59.2645,NaN,NaN,NaN,NaN,9.2140,45.5150,171.0790,0.5890,9.2480,33.8230,46.3350,0.5910,NaN,59.2276,59.1125,NaN,7.58016,7.59057,NaN,48.5588,0.182268,NaN,999.091,911.823
1,1,1,1,1,1,1,1,0,16,16,16,1504.57,1262.08,1239.65,22.3538,13.7693,15558,5296,95.8122,NaN,NaN,81.756,6.6220,33.1300,39.9570,0.6130,6.6220,43.6960,60.3730,0.5980,6.6220,33.7570,45.1440,0.5820,81.6447,81.7181,81.7274,7.71352,7.5616,7.64227,0.0108569,48.7057,0.182524,1512.29,1318.35,1247.47
2,1,1,1,1,1,1,1,0,16,16,16,1501.51,1257.99,1235.2,21.7398,13.6263,15573,5342,95.8065,NaN,NaN,81.5015,6.6870,33.2030,38.1800,0.5800,6.6870,43.5440,53.7570,0.5870,6.6870,33.3940,45.2830,0.5900,81.4806,81.4344,81.4372,7.6875,7.38076,7.52083,0.0109428,48.514,0.181052,1509.21,1313.89,1242.91
3,1,1,1,1,1,1,1,0,16,16,16,1504.19,1260.81,1237.62,21.967,13.6738,15575,5219,95.7796,NaN,NaN,81.657,6.6220,33.1270,39.1900,0.5990,6.6560,43.5000,58.1040,0.5990,6.6560,33.7140,48.9210,0.5790,81.6368,81.5924,81.5932,7.78108,7.33152,7.70598,0.0111104,49.4044,0.183104,1511.98,1317.55,1245.51
