run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,0,16,16,16,419.421,NaN,NaN,12.6993,11.6129,2989,644,99.2262,0.0450,0.0010,22.0402,27.2450,285.9180,288.4500,0.1850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0275,NaN,NaN,7.13679,NaN,NaN,0.000114339,NaN,NaN,426.558,NaN,NaN
2,1,0,0,1,1,1,1,0,16,16,16,419.356,NaN,NaN,12.9018,11.6541,2988,542,99.2157,0.0450,0.0010,22.0414,27.2440,285.9620,288.5020,0.1860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0287,NaN,NaN,7.2185,NaN,NaN,0.00011027,NaN,NaN,426.575,NaN,NaN
3,1,0,0,1,1,1,1,0,16,16,16,419.295,NaN,NaN,13.0821,11.6691,2988,566,99.2224,0.0450,0.0010,22.0413,27.2440,286.0030,288.4800,0.1810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0287,NaN,NaN,7.25666,NaN,NaN,0.000107829,NaN,NaN,426.552,NaN,NaN
1,0,1,0,1,1,1,1,0,16,16,16,NaN,476.993,NaN,16.9307,11.9318,6778,734,99.5757,0.0340,0.0010,29.5098,NaN,NaN,NaN,NaN,20.3440,378.3030,388.6370,0.2040,NaN,NaN,NaN,NaN,NaN,29.4968,NaN,NaN,6.94148,NaN,NaN,9.23665e-05,NaN,NaN,483.935,NaN
2,0,1,0,1,1,1,1,0,16,16,16,NaN,477.045,NaN,16.6993,11.9488,6776,694,99.5707,0.0340,0.0010,29.5095,NaN,NaN,NaN,NaN,20.3440,378.3360,383.8260,0.2020,NaN,NaN,NaN,NaN,NaN,29.4962,NaN,NaN,6.8786,NaN,NaN,0.00012207,NaN,NaN,483.924,NaN
3,0,1,0,1,1,1,1,0,16,16,16,NaN,476.869,NaN,16.3498,11.9013,6773,697,99.5736,0.0340,0.0010,29.5085,NaN,NaN,NaN,NaN,20.3450,378.4410,384.0510,0.2110,NaN,NaN,NaN,NaN,NaN,29.4944,NaN,NaN,6.91017,NaN,NaN,9.31803e-05,NaN,NaN,483.779,NaN
1,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,346.966,16.9861,11.7072,6086,568,99.1705,0.0460,0.0010,21.8001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5420,278.7930,283.0820,0.1970,NaN,NaN,21.7877,NaN,NaN,7.18463,NaN,NaN,9.76563e-05,NaN,NaN,354.151
2,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.13,16.909,11.6413,6095,545,99.1620,0.0460,0.0010,21.8002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5420,278.7350,283.1240,0.1980,NaN,NaN,21.7879,NaN,NaN,7.02,NaN,NaN,0.000100505,NaN,NaN,354.15
3,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,346.995,16.9611,11.6716,6088,623,99.1735,0.0460,0.0010,21.8015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5400,278.7860,283.2330,0.1980,NaN,NaN,21.789,NaN,NaN,7.13321,NaN,NaN,0.000102132,NaN,NaN,354.128
1,1,0,0,17,1,1,1,0,16,16,16,816.617,NaN,NaN,24.124,13.2021,661,535,96.5889,3.6090,0.0020,10.5473,56.9850,259.2840,314.5840,0.9860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.535,NaN,NaN,5.91406,NaN,NaN,0.00010498,NaN,NaN,822.531,NaN,NaN
