run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,0,16,16,16,419.288,NaN,NaN,13.0791,11.5925,2988,671,99.2152,0.0450,0.0010,22.045,27.2400,285.9320,288.4840,0.1890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0314,NaN,NaN,7.3492,NaN,NaN,0.00871379,NaN,NaN,426.646,NaN,NaN
2,1,0,0,1,1,1,1,0,16,16,16,419.327,NaN,NaN,12.9227,11.6489,2988,611,99.2067,0.0450,0.0010,22.0429,27.2420,285.9360,288.5110,0.1890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.03,NaN,NaN,7.2424,NaN,NaN,0.00865234,NaN,NaN,426.578,NaN,NaN
3,1,0,0,1,1,1,1,0,16,16,16,419.548,NaN,NaN,12.7633,11.6314,2988,625,99.2186,0.0450,0.0010,22.0417,27.2450,285.8610,288.4020,0.1930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0278,NaN,NaN,7.11948,NaN,NaN,0.00856527,NaN,NaN,426.676,NaN,NaN
1,0,1,0,1,1,1,1,0,16,16,16,NaN,765.654,NaN,39.8668,11.9731,6717,3707,93.6768,0.0330,0.0010,32.1243,NaN,NaN,NaN,NaN,18.5820,418.6130,943.9930,0.2060,NaN,NaN,NaN,NaN,NaN,32.0922,NaN,NaN,7.75039,NaN,NaN,45.2262,NaN,NaN,818.631,NaN
2,0,1,0,1,1,1,1,0,16,16,16,NaN,750.867,NaN,39.3762,12.0762,6704,3522,94.1470,0.0340,0.0010,31.791,NaN,NaN,NaN,NaN,18.9040,411.1740,904.7950,0.1990,NaN,NaN,NaN,NaN,NaN,31.7605,NaN,NaN,7.51845,NaN,NaN,44.7688,NaN,NaN,803.154,NaN
3,0,1,0,1,1,1,1,0,16,16,16,NaN,761.265,NaN,39.8682,12.0842,6723,3633,93.8158,0.0330,0.0010,32.0697,NaN,NaN,NaN,NaN,18.6070,417.1780,937.9560,0.2030,NaN,NaN,NaN,NaN,NaN,32.0396,NaN,NaN,7.60279,NaN,NaN,45.1552,NaN,NaN,814.023,NaN
1,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.022,17.2955,11.6607,6089,620,99.1855,0.0460,0.0010,21.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5450,278.7700,283.1690,0.1960,NaN,NaN,21.7855,NaN,NaN,7.0411,NaN,NaN,0.19094,NaN,NaN,354.254
2,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.205,17.6477,11.752,6104,610,99.1750,0.0460,0.0010,21.7999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5420,278.4990,283.5160,0.1930,NaN,NaN,21.7873,NaN,NaN,7.09157,NaN,NaN,0.190523,NaN,NaN,354.487
3,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.149,17.5793,11.6451,6094,623,99.1655,0.0460,0.0010,21.799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5440,278.5380,283.1020,0.2080,NaN,NaN,21.7858,NaN,NaN,7.04608,NaN,NaN,0.188522,NaN,NaN,354.384
1,1,0,0,17,1,1,1,0,16,16,16,827.613,NaN,NaN,24.5836,13.0958,700,491,96.6510,3.5520,0.0020,10.7163,56.0830,261.6580,329.9560,0.8250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7039,NaN,NaN,5.96085,NaN,NaN,0.0226794,NaN,NaN,833.597,NaN,NaN
