run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,0,0,0,0,388.833,NaN,NaN,14.6911,12.5385,3010,777,99.1995,0.0450,0.0010,22.0478,27.2370,272.4150,288.9520,0.1860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0345,NaN,NaN,7.44643,NaN,NaN,0.00892293,NaN,NaN,396.288,NaN,NaN
2,1,0,0,1,1,1,1,0,0,0,0,388.744,NaN,NaN,13.7255,12.5817,3007,704,99.2081,0.0450,0.0010,22.0454,27.2410,272.4600,288.7920,0.1790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0318,NaN,NaN,7.43658,NaN,NaN,0.00957764,NaN,NaN,396.19,NaN,NaN
3,1,0,0,1,1,1,1,0,0,0,0,388.778,NaN,NaN,14.6875,12.5914,3007,765,99.2071,0.0450,0.0010,22.0489,27.2360,272.5840,289.3720,0.1840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0354,NaN,NaN,7.49096,NaN,NaN,0.00885742,NaN,NaN,396.277,NaN,NaN
1,0,1,0,1,1,1,1,0,0,0,0,NaN,763.717,NaN,40.9151,13.0865,6741,3766,93.0413,0.0330,0.0010,32.3261,NaN,NaN,NaN,NaN,18.4220,417.9850,957.3360,0.2130,NaN,NaN,NaN,NaN,NaN,32.2938,NaN,NaN,7.78304,NaN,NaN,45.8821,NaN,NaN,817.382,NaN
2,0,1,0,1,1,1,1,0,0,0,0,NaN,768.221,NaN,39.9984,13.1428,6734,3837,93.0997,0.0330,0.0010,32.3398,NaN,NaN,NaN,NaN,18.4180,418.4080,961.4340,0.1980,NaN,NaN,NaN,NaN,NaN,32.306,NaN,NaN,7.82138,NaN,NaN,45.9228,NaN,NaN,821.965,NaN
3,0,1,0,1,1,1,1,0,0,0,0,NaN,772.111,NaN,39.7125,13.7849,6729,3695,92.9419,0.0330,0.0010,32.3877,NaN,NaN,NaN,NaN,18.3800,420.3540,970.4090,0.1990,NaN,NaN,NaN,NaN,NaN,32.3576,NaN,NaN,7.70945,NaN,NaN,45.9251,NaN,NaN,825.746,NaN
1,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,323.772,17.7624,12.5223,6117,656,99.1435,0.0460,0.0010,21.8039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5380,263.0550,282.8380,0.2030,NaN,NaN,21.7907,NaN,NaN,7.26226,NaN,NaN,0.189693,NaN,NaN,331.224
2,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,324.007,17.5283,12.5794,6122,662,99.1630,0.0460,0.0010,21.8014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5410,262.9110,282.6110,0.2060,NaN,NaN,21.7882,NaN,NaN,7.15934,NaN,NaN,0.19063,NaN,NaN,331.357
3,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,323.994,17.776,12.5661,6121,715,99.2010,0.0460,0.0010,21.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5380,262.8360,282.6670,0.1960,NaN,NaN,21.7912,NaN,NaN,7.21556,NaN,NaN,0.190568,NaN,NaN,331.4
1,1,1,0,1,1,1,1,0,0,0,0,1059.57,912.917,NaN,25.4986,13.4945,9584,4786,95.5246,19.8550,0.0010,57.3738,9.8940,33.4760,43.1070,0.5700,9.9280,47.7140,201.4670,0.6240,NaN,NaN,NaN,NaN,57.3094,57.3397,NaN,7.42104,7.76881,NaN,0.0115206,47.467,NaN,1067,968.153,NaN
