n_runs,input_fps,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
3,5,1,0,0,1,1,1,1,0,0,0,0,35.4160,NaN,NaN,2.5807,12.5835,2997.6667,1025.6667,15.2665,0.0340,0.0010,119.8427,5.0290,25.2033,32.9043,0.1830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119.8297,NaN,NaN,8.0752,NaN,NaN,0.0091,NaN,NaN,43.5003,NaN,NaN
3,5,0,1,0,1,1,1,1,0,0,0,0,NaN,49.5698,NaN,8.9156,12.8421,6599.6667,4597.0000,22.6644,0.0340,0.0010,119.8730,NaN,NaN,NaN,NaN,5.0270,36.1047,41.0770,0.2003,NaN,NaN,NaN,NaN,NaN,119.8390,NaN,NaN,8.2097,NaN,NaN,45.2991,NaN,NaN,103.0787,NaN
3,5,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,32.0668,2.9091,12.5591,5999.0000,814.3333,15.4031,0.0340,0.0010,119.8397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0290,23.6567,30.8440,0.1970,NaN,NaN,119.8263,NaN,NaN,8.1430,NaN,NaN,0.2103,NaN,NaN,40.4201
3,10,1,0,0,1,1,1,1,0,0,0,0,35.6940,NaN,NaN,5.0107,12.5272,2997.0000,690.3333,30.5742,0.0340,0.0010,59.9430,10.0250,25.3097,32.8850,0.1910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.9301,NaN,NaN,7.9524,NaN,NaN,0.0090,NaN,NaN,43.6554,NaN,NaN
3,10,0,1,0,1,1,1,1,0,0,0,0,NaN,69.5131,NaN,17.5109,13.1522,6599.6667,4766.3333,45.8808,0.0340,0.0010,60.0310,NaN,NaN,NaN,NaN,10.0193,39.8473,172.3447,0.2000,NaN,NaN,NaN,NaN,NaN,59.9997,NaN,NaN,7.5286,NaN,NaN,45.3730,NaN,NaN,122.4147,NaN
3,10,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,32.8058,5.0186,12.5812,5999.0000,579.0000,31.3483,0.0340,0.0010,59.9397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0247,24.0040,30.8690,0.1967,NaN,NaN,59.9263,NaN,NaN,8.1149,NaN,NaN,0.2100,NaN,NaN,41.1308
3,15,1,0,0,1,1,1,1,0,0,0,0,36.2122,NaN,NaN,7.8279,12.5011,2995.6667,914.6667,46.0180,0.0340,0.0010,39.9764,15.0197,25.4507,32.9087,0.1830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.9626,NaN,NaN,7.9354,NaN,NaN,0.0091,NaN,NaN,44.1566,NaN,NaN
3,15,0,1,0,1,1,1,1,0,0,0,0,NaN,127.7067,NaN,28.9408,13.0816,6664.0000,4352.0000,73.3277,0.0330,0.0010,40.0992,NaN,NaN,NaN,NaN,15.0013,69.0520,437.5587,0.2020,NaN,NaN,NaN,NaN,NaN,40.0675,NaN,NaN,7.6824,NaN,NaN,46.4542,NaN,NaN,181.8433,NaN
3,15,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,34.2898,8.0347,12.5169,5999.0000,759.0000,48.4849,0.0340,0.0010,39.9731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0173,24.4297,30.8250,0.1973,NaN,NaN,39.9598,NaN,NaN,7.9597,NaN,NaN,0.2043,NaN,NaN,42.4538
3,20,1,0,0,1,1,1,1,0,0,0,0,36.8017,NaN,NaN,10.4050,12.5639,2996.0000,973.6667,61.6191,0.0340,0.0010,29.9922,20.0157,25.6530,32.8880,0.1863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.9791,NaN,NaN,7.1604,NaN,NaN,0.0089,NaN,NaN,43.9709,NaN,NaN
