run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose,total_time_ms_nopp_det,total_time_ms_nopp_seg,total_time_ms_nopp_pose
1,1,0,0,1,1,1,1,0,0,0,0,388.721,NaN,NaN,13.7409,12.6703,3004,803,99.1967,0.0450,0.0010,22.0499,27.2350,272.3080,289.2300,0.1900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0368,NaN,NaN,7.59751,NaN,NaN,NaN,NaN,NaN,396.319,NaN,NaN,396.319,NaN,NaN
2,1,0,0,1,1,1,1,0,0,0,0,388.712,NaN,NaN,12.9249,12.6695,3005,679,99.2195,0.0450,0.0010,22.0391,27.2460,272.1840,288.5540,0.1900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0264,NaN,NaN,7.14797,NaN,NaN,NaN,NaN,NaN,395.86,NaN,NaN,395.86,NaN,NaN
3,1,0,0,1,1,1,1,0,0,0,0,388.8,NaN,NaN,13.0385,12.625,3006,736,99.2224,0.0450,0.0010,22.0401,27.2460,272.1880,288.4650,0.1870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0273,NaN,NaN,7.16423,NaN,NaN,NaN,NaN,NaN,395.964,NaN,NaN,395.964,NaN,NaN
1,0,1,0,1,1,1,1,0,0,0,0,NaN,470.626,NaN,16.5602,13.1082,6773,808,99.5500,0.0340,0.0010,29.5144,NaN,NaN,NaN,NaN,20.3430,375.1310,384.2990,0.2010,NaN,NaN,NaN,NaN,NaN,29.4985,NaN,NaN,7.401,NaN,NaN,NaN,NaN,NaN,478.027,NaN,NaN,478.027,NaN
2,0,1,0,1,1,1,1,0,0,0,0,NaN,470.729,NaN,16.5162,13.0513,6772,830,99.5600,0.0340,0.0010,29.5125,NaN,NaN,NaN,NaN,20.3450,374.9260,384.0040,0.1980,NaN,NaN,NaN,NaN,NaN,29.4956,NaN,NaN,7.38618,NaN,NaN,NaN,NaN,NaN,478.115,NaN,NaN,478.115,NaN
3,0,1,0,1,1,1,1,0,0,0,0,NaN,470.849,NaN,16.2604,12.9952,6777,795,99.5707,0.0340,0.0010,29.5113,NaN,NaN,NaN,NaN,20.3440,374.6080,383.8210,0.1970,NaN,NaN,NaN,NaN,NaN,29.4965,NaN,NaN,7.35576,NaN,NaN,NaN,NaN,NaN,478.205,NaN,NaN,478.205,NaN
1,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,324.09,18.8575,12.8708,6123,721,99.1276,0.0460,0.0010,21.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5270,263.1650,283.4700,0.1980,NaN,NaN,21.7993,NaN,NaN,7.59561,NaN,NaN,NaN,NaN,NaN,331.686,NaN,NaN,331.686
2,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,323.942,18.2825,12.8349,6121,735,99.1814,0.0460,0.0010,21.8105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5310,263.2590,283.4580,0.1930,NaN,NaN,21.7964,NaN,NaN,7.60116,NaN,NaN,NaN,NaN,NaN,331.543,NaN,NaN,331.543
3,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,323.829,18.1556,12.7736,6111,670,99.1445,0.0460,0.0010,21.8074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5350,263.1530,283.5400,0.1950,NaN,NaN,21.7936,NaN,NaN,7.46541,NaN,NaN,NaN,NaN,NaN,331.295,NaN,NaN,331.295
1,1,1,0,1,1,1,1,0,0,0,0,1044.03,874.324,NaN,14.3976,13.8724,9599,1305,95.8842,20.3860,0.0010,56.5226,10.1590,32.9760,35.2550,0.5790,10.1930,43.2230,46.9930,0.6040,NaN,NaN,NaN,NaN,56.5013,56.4636,NaN,8.2225,7.71127,NaN,NaN,NaN,NaN,1052.25,882.035,NaN,1052.25,882.035,NaN
