run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose,total_time_ms_nopp_det,total_time_ms_nopp_seg,total_time_ms_nopp_pose
1,1,0,0,1,1,1,1,0,0,0,0,388.787,NaN,NaN,13.7947,12.8796,3004,659,99.2029,0.0450,0.0010,22.0484,27.2360,272.2430,288.4670,0.1810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0349,NaN,NaN,7.57402,NaN,NaN,0.000109049,NaN,NaN,396.361,NaN,NaN,396.361,NaN,NaN
2,1,0,0,1,1,1,1,0,0,0,0,389.024,NaN,NaN,12.8973,12.6283,3004,646,99.1910,0.0450,0.0010,22.0398,27.2480,272.3950,288.4380,0.1880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0259,NaN,NaN,7.12867,NaN,NaN,0.00011556,NaN,NaN,396.153,NaN,NaN,396.153,NaN,NaN
3,1,0,0,1,1,1,1,0,0,0,0,388.817,NaN,NaN,13.1929,12.5782,3008,700,99.1981,0.0450,0.0010,22.042,27.2450,272.3620,288.5480,0.1840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0287,NaN,NaN,7.24155,NaN,NaN,0.000116781,NaN,NaN,396.059,NaN,NaN,396.059,NaN,NaN
1,0,1,0,1,1,1,1,0,0,0,0,NaN,470.96,NaN,15.9312,12.9186,6777,739,99.5375,0.0340,0.0010,29.5019,NaN,NaN,NaN,NaN,20.3490,374.6250,383.8590,0.2000,NaN,NaN,NaN,NaN,NaN,29.4893,NaN,NaN,6.9008,NaN,NaN,9.76563e-05,NaN,NaN,477.861,NaN,NaN,477.861,NaN
2,0,1,0,1,1,1,1,0,0,0,0,NaN,470.753,NaN,17.0033,13.1547,6791,734,99.5514,0.0340,0.0010,29.5138,NaN,NaN,NaN,NaN,20.3430,374.8540,384.1320,0.1980,NaN,NaN,NaN,NaN,NaN,29.4982,NaN,NaN,7.23495,NaN,NaN,0.000103353,NaN,NaN,477.988,NaN,NaN,477.988,NaN
3,0,1,0,1,1,1,1,0,0,0,0,NaN,470.497,NaN,17.2252,13.0386,6790,833,99.5500,0.0340,0.0010,29.5134,NaN,NaN,NaN,NaN,20.3430,374.8370,383.9080,0.2010,NaN,NaN,NaN,NaN,NaN,29.4985,NaN,NaN,7.33711,NaN,NaN,0.000100098,NaN,NaN,477.834,NaN,NaN,477.834,NaN
1,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,324.015,18.8381,12.7229,6133,676,99.1625,0.0460,0.0010,21.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5380,262.7300,282.7300,0.1940,NaN,NaN,21.7911,NaN,NaN,7.25232,NaN,NaN,9.27734e-05,NaN,NaN,331.267,NaN,NaN,331.267
2,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,324.065,18.4599,12.6883,6145,653,99.1660,0.0460,0.0010,21.8004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5420,262.5570,282.6300,0.1980,NaN,NaN,21.7878,NaN,NaN,7.13308,NaN,NaN,0.000100505,NaN,NaN,331.198,NaN,NaN,331.198
3,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,323.74,17.9769,12.8158,6120,722,99.1485,0.0460,0.0010,21.803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5390,262.9960,282.9800,0.1980,NaN,NaN,21.7904,NaN,NaN,7.29,NaN,NaN,9.72493e-05,NaN,NaN,331.03,NaN,NaN,331.03
1,1,1,0,1,1,1,1,0,0,0,0,1042.93,873.274,NaN,13.6341,13.7137,9581,1163,95.9402,20.4080,0.0010,56.4534,10.1870,32.9130,34.7830,0.5800,10.2210,43.1910,47.1250,0.5980,NaN,NaN,NaN,NaN,56.435,56.392,NaN,8.19327,7.74186,NaN,0.000108643,0.000101725,NaN,1051.12,881.016,NaN,1051.12,881.016,NaN
2,1,1,0,1,1,1,1,0,0,0,0,1042.08,872.412,NaN,13.1892,13.7216,9602,1235,95.9005,20.4440,0.0010,56.4106,10.2050,32.8760,36.3820,0.5750,10.2050,43.1180,47.0020,0.6050,NaN,NaN,NaN,NaN,56.3954,56.3524,NaN,8.16535,7.74813,NaN,0.000105794,0.000108643,NaN,1050.25,880.16,NaN,1050.25,880.16,NaN
3,1,1,0,1,1,1,1,0,0,0,0,1045.62,875.562,NaN,13.3463,13.5497,9599,1163,95.8818,20.3230,0.0010,56.5953,10.1280,32.8780,33.8070,0.5770,10.1620,43.0870,46.9860,0.6090,NaN,NaN,NaN,NaN,56.576,56.5381,NaN,8.19669,7.72779,NaN,0.000108643,9.96908e-05,NaN,1053.81,883.29,NaN,1053.82,883.29,NaN
1,1,0,1,1,1,1,1,0,0,0,0,921.048,NaN,759.591,14.1291,13.3837,8990,1285,94.9661,22.9940,0.0010,49.7497,11.4800,32.9570,33.6580,0.5750,NaN,NaN,NaN,NaN,11.4800,32.1480,34.4970,0.5840,49.7314,NaN,49.6931,8.21128,NaN,7.74265,0.000110677,NaN,9.96908e-05,929.259,NaN,767.334,929.259,NaN,767.334
2,1,0,1,1,1,1,1,0,0,0,0,921.095,NaN,759.433,14.4719,13.4577,9001,1362,94.9357,22.9760,0.0010,49.7546,11.4880,32.9970,33.5740,0.5760,NaN,NaN,NaN,NaN,11.4880,32.3110,35.0340,0.5920,49.7383,NaN,49.6952,8.16758,NaN,7.99998,0.000102946,NaN,9.80632e-05,929.262,NaN,767.434,929.263,NaN,767.433
3,1,0,1,1,1,1,1,0,0,0,0,922.113,NaN,760.468,15.185,13.4632,8984,1364,94.8182,22.9500,0.0010,49.8006,11.4580,32.9970,33.8330,0.5760,NaN,NaN,NaN,NaN,11.4580,32.3030,34.9540,0.5900,49.7846,NaN,49.7414,8.10501,NaN,7.76826,0.000111898,NaN,0.000102132,930.218,NaN,768.237,930.218,NaN,768.236
1,0,1,1,1,1,1,1,0,0,0,0,NaN,897.611,884.046,15.101,13.6548,12605,1051,95.5346,19.2300,0.0010,58.0517,NaN,NaN,NaN,NaN,9.5980,43.5510,48.8620,0.5820,9.5980,32.3840,35.1450,0.5850,NaN,57.9914,58.0272,NaN,7.97879,8.28167,NaN,0.000102132,0.00010376,NaN,905.59,892.328,NaN,905.59,892.328
