run_id,hef_name,img_size,batch,threshold,timeout_ms,priority,input_fps,frame_count,avg_preprocess_ms,avg_latency_ms,avg_postprocess_ms,avg_total_time_ms,total_time_s,run_time_s,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,avg_fps_hrtt,avg_latency_hrtt,max_latency_hrtt,activation_hrtt
1,YOLOv5-NPU-postprocess,512,1,1,0,0,0,673,7.94946,490.959,0.0154222,498.924,34.2068,34.2183,8.28567,21.2854,1449,681,98.1594,0.034,0.017,19.675,403.844,409.308,4.906
2,YOLOv5-NPU-postprocess,512,1,1,0,0,0,673,7.6581,491.165,0.0154763,498.839,34.1989,34.2104,7.89319,21.3387,1339,616,98.1445,0.034,0.015,19.679,403.771,407.054,4.381
3,YOLOv5-NPU-postprocess,512,1,1,0,0,0,673,7.91843,490.891,0.0155637,498.825,34.2031,34.2151,7.41718,21.2409,1339,811,98.1142,0.034,0.015,19.676,403.826,407.612,4.28
4,Detection-CPU-baseline,640,1,1,0,0,0,673,7.4802,419.802,0.00857612,427.291,24.7184,24.7311,13.7711,13.181,3355,682,99.2413,0.04,0.001,27.233,286.119,288.564,0.195
5,Detection-CPU-baseline,640,1,1,0,0,0,673,7.48587,419.639,0.00853186,427.133,24.7133,24.7259,13.485,13.283,3354,760,99.2600,0.04,0.001,27.239,286.294,288.842,0.193
6,Detection-CPU-baseline,640,1,1,0,0,0,673,7.35985,419.869,0.00897371,427.238,24.7156,24.7277,13.4531,13.3619,3353,715,99.2570,0.04,0.001,27.236,286.331,288.73,0.194
7,YOLOv5-NPU-postprocess,512,1,1,0,0,30,673,7.92527,486.072,0.0138275,494.012,34.2059,34.2173,6.70182,21.3227,1348,790,98.1473,0.034,0.014,19.674,400.215,407.72,4.248
8,YOLOv5-NPU-postprocess,512,1,1,0,0,30,673,7.88811,486.037,0.0139581,493.939,34.2013,34.2134,6.46865,21.2945,1348,720,98.1570,0.034,0.015,19.678,400.157,407.321,4.272
9,YOLOv5-NPU-postprocess,512,1,1,0,0,30,673,7.97189,486.134,0.014442,494.12,34.2067,34.2187,6.77705,21.2773,1348,762,98.0862,0.034,0.016,19.674,400.22,407.687,4.541
10,Detection-CPU-baseline,640,1,1,0,0,30,673,7.43323,392.229,0.00890515,399.671,24.7107,24.7231,13.3834,13.3506,3371,698,99.2387,0.04,0.001,27.241,273.933,288.741,0.197
11,Detection-CPU-baseline,640,1,1,0,0,30,673,7.24693,392.305,0.00891893,399.561,24.708,24.7199,13.7038,13.3077,3367,794,99.2591,0.04,0.001,27.244,273.732,288.492,0.185
12,Detection-CPU-baseline,640,1,1,0,0,30,673,7.11867,392.666,0.00874481,399.793,24.7098,24.7226,14.1666,13.4313,3366,823,99.2500,0.04,0.001,27.243,273.932,288.597,0.182
