tag,run_id,input_fps,frames,use_ssd,use_deeplab,use_mnv2,ssd_latency_ms,deeplab_latency_ms,mnv2_latency_ms,ssd_fps,deeplab_fps,mnv2_fps,ssd_preprocess_ms,deeplab_preprocess_ms,mnv2_preprocess_ms,ssd_total_time_s,deeplab_total_time_s,mnv2_total_time_s,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,wall_time_s
ssd,1,0,673,1,0,0,8.10997,NaN,NaN,192.15,NaN,NaN,5.08595,NaN,NaN,3.50247,NaN,NaN,26.7192,11.2728,847,239,3.50264
ssd,2,0,673,1,0,0,8.09739,NaN,NaN,197.464,NaN,NaN,4.95227,NaN,NaN,3.40822,NaN,NaN,26.6028,11.2407,680,221,3.40838
ssd,3,0,673,1,0,0,8.10786,NaN,NaN,196.211,NaN,NaN,4.97372,NaN,NaN,3.42999,NaN,NaN,26.6618,11.203,681,210,3.43015
deeplab,1,0,673,0,1,0,NaN,195.264,NaN,NaN,57.9937,NaN,NaN,6.62464,NaN,NaN,11.6047,NaN,17.6305,11.4686,1331,533,11.6049
deeplab,2,0,673,0,1,0,NaN,195.447,NaN,NaN,58.025,NaN,NaN,6.38703,NaN,NaN,11.5984,NaN,16.4428,11.2885,1332,509,11.5986
deeplab,3,0,673,0,1,0,NaN,195.544,NaN,NaN,58.0345,NaN,NaN,6.38533,NaN,NaN,11.5966,NaN,16.3022,11.2482,1333,518,11.5967
mnv2,1,0,673,0,0,1,NaN,NaN,2.44483,NaN,NaN,212.609,NaN,NaN,4.63143,NaN,NaN,3.16543,26.3449,10.9798,673,257,3.1656
mnv2,2,0,673,0,0,1,NaN,NaN,2.44608,NaN,NaN,213.615,NaN,NaN,4.60772,NaN,NaN,3.15053,26.6508,10.9676,675,207,3.15071
mnv2,3,0,673,0,0,1,NaN,NaN,2.44832,NaN,NaN,213.67,NaN,NaN,4.60613,NaN,NaN,3.14972,26.3535,11.036,675,204,3.1499
ssd_deeplab,1,0,673,1,1,0,181.156,245.354,NaN,45.9917,45.932,NaN,5.75646,6.54969,NaN,14.6331,14.6521,NaN,23.5517,11.5627,2169,1063,14.6524
ssd_deeplab,2,0,673,1,1,0,181.439,244.938,NaN,46.0948,46.0348,NaN,5.59,6.35969,NaN,14.6003,14.6194,NaN,22.226,11.4489,2167,986,14.6196
ssd_deeplab,3,0,673,1,1,0,181.28,245.057,NaN,46.0402,45.9801,NaN,5.6939,6.49176,NaN,14.6177,14.6368,NaN,22.6366,11.3347,2156,964,14.637
ssd_mnv2,1,0,673,1,0,1,35.3839,NaN,31.839,174.284,NaN,174.915,5.21534,NaN,4.89777,3.86152,NaN,3.84758,57.3856,11.4862,1779,659,3.86175
ssd_mnv2,2,0,673,1,0,1,26.3378,NaN,32.8263,169.271,NaN,169.89,5.40882,NaN,5.02048,3.97588,NaN,3.96139,55.5344,11.4211,1783,605,3.97613
ssd_mnv2,3,0,673,1,0,1,31.6484,NaN,33.3193,166.067,NaN,165.766,5.45032,NaN,5.10228,4.05259,NaN,4.05994,57.7114,11.3378,1807,786,4.06019
deeplab_mnv2,1,0,673,0,1,1,NaN,214.238,146.887,NaN,52.7469,52.8284,NaN,6.51606,5.39268,NaN,12.759,12.7394,25.41,11.3093,2168,864,12.7593
deeplab_mnv2,2,0,673,0,1,1,NaN,214.468,146.725,NaN,52.6831,52.762,NaN,6.56149,5.45174,NaN,12.7745,12.7554,26.6772,11.5358,2148,934,12.7747
deeplab_mnv2,3,0,673,0,1,1,NaN,214.515,147.062,NaN,52.7711,52.8504,NaN,6.2625,5.34813,NaN,12.7532,12.7341,25.1382,11.3037,2168,1010,12.7534
ssd_deeplab_mnv2,1,0,673,1,1,1,197.834,265.214,188.522,42.3979,42.3452,42.4389,5.64568,6.59975,5.5187,15.8734,15.8932,15.8581,31.6132,11.4905,3334,1384,15.8934
ssd_deeplab_mnv2,2,0,673,1,1,1,197.751,265.546,188.763,42.3532,42.3001,42.3939,5.7078,6.59071,5.50495,15.8902,15.9101,15.8749,31.8477,11.5793,3327,1570,15.9104
ssd_deeplab_mnv2,3,0,673,1,1,1,199.46,264.168,188.801,42.4944,42.4393,42.4185,5.63271,6.55634,5.45749,15.8374,15.8579,15.8657,30.9906,11.5437,3284,1293,15.8661
