tag,run_id,input_fps,frames,use_ssd,use_deeplab,use_mnv2,ssd_latency_ms,deeplab_latency_ms,mnv2_latency_ms,ssd_fps,deeplab_fps,mnv2_fps,ssd_preprocess_ms,deeplab_preprocess_ms,mnv2_preprocess_ms,ssd_total_time_s,deeplab_total_time_s,mnv2_total_time_s,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,wall_time_s
ssd,1,30,673,1,0,0,8.19005,NaN,NaN,30.0235,NaN,NaN,7.32038,NaN,NaN,22.4157,NaN,NaN,6.34299,11.3072,1345,715,22.4159
ssd,2,30,673,1,0,0,8.18625,NaN,NaN,30.0238,NaN,NaN,7.39295,NaN,NaN,22.4156,NaN,NaN,6.2514,11.1741,1345,827,22.4158
ssd,3,30,673,1,0,0,8.17281,NaN,NaN,30.024,NaN,NaN,7.35197,NaN,NaN,22.4154,NaN,NaN,6.22272,11.1516,1345,855,22.4155
deeplab,1,30,673,0,1,0,NaN,17.7216,NaN,NaN,30.011,NaN,NaN,7.54816,NaN,NaN,22.4251,NaN,9.99888,11.1709,1346,1089,22.4253
deeplab,2,30,673,0,1,0,NaN,17.765,NaN,NaN,30.0115,NaN,NaN,7.59554,NaN,NaN,22.4247,NaN,10.2997,11.1838,1345,1096,22.4249
deeplab,3,30,673,0,1,0,NaN,17.7745,NaN,NaN,30.0113,NaN,NaN,7.65357,NaN,NaN,22.4249,NaN,10.2553,11.3064,1345,1124,22.4251
mnv2,1,30,673,0,0,1,NaN,NaN,2.58946,NaN,NaN,30.033,NaN,NaN,6.84586,NaN,NaN,22.4087,7.10932,11.1264,1345,629,22.4088
mnv2,2,30,673,0,0,1,NaN,NaN,2.56844,NaN,NaN,30.0321,NaN,NaN,6.80074,NaN,NaN,22.4094,5.96264,11.0274,1345,627,22.4096
mnv2,3,30,673,0,0,1,NaN,NaN,2.58185,NaN,NaN,30.0323,NaN,NaN,6.80052,NaN,NaN,22.4092,6.35205,10.9858,1345,632,22.4094
ssd_deeplab,1,30,673,1,1,0,19.532,30.2524,NaN,29.9847,30.0038,NaN,7.66664,9.16784,NaN,22.4448,22.4305,NaN,20.3972,11.3536,2765,1367,22.445
ssd_deeplab,2,30,673,1,1,0,20.2848,30.199,NaN,29.9838,30.0025,NaN,7.87975,9.44526,NaN,22.4455,22.4314,NaN,20.9782,11.3147,2775,1344,22.4457
ssd_deeplab,3,30,673,1,1,0,19.8216,30.2385,NaN,29.9835,30.002,NaN,7.67912,9.46956,NaN,22.4457,22.4318,NaN,21.0237,11.389,2773,1354,22.4459
ssd_mnv2,1,30,673,1,0,1,22.5728,NaN,9.32757,30.0001,NaN,30.0191,7.63465,NaN,7.04809,22.4333,NaN,22.4191,16.3377,11.292,3256,900,22.4335
ssd_mnv2,2,30,673,1,0,1,22.4742,NaN,9.26342,30.0001,NaN,30.019,7.65174,NaN,7.09498,22.4332,NaN,22.4191,16.4152,11.2674,3217,1080,22.4335
ssd_mnv2,3,30,673,1,0,1,22.3743,NaN,9.2118,30.0001,NaN,30.0191,7.7018,NaN,7.15013,22.4333,NaN,22.4191,15.6061,11.2371,3228,1013,22.4335
deeplab_mnv2,1,30,673,0,1,1,NaN,25.381,8.71929,NaN,29.9962,30.022,NaN,9.556,7.03534,NaN,22.4362,22.4169,18.3612,11.2508,2710,1068,22.4364
deeplab_mnv2,2,30,673,0,1,1,NaN,25.4796,8.79415,NaN,29.9961,30.0218,NaN,9.5346,7.01491,NaN,22.4363,22.417,18.4452,11.2159,2720,1035,22.4365
deeplab_mnv2,3,30,673,0,1,1,NaN,25.7771,8.82387,NaN,29.9964,30.0222,NaN,9.36248,7.14617,NaN,22.4361,22.4168,18.6268,11.2074,2715,1138,22.4363
ssd_deeplab_mnv2,1,30,673,1,1,1,41.9085,37.7323,37.6907,30.0081,29.9564,29.9464,8.5189,10.268,7.70602,22.4273,22.466,22.4735,30.7486,11.3862,4901,2118,22.4739
ssd_deeplab_mnv2,2,30,673,1,1,1,40.8105,37.1249,36.8152,30.0081,29.9561,29.9458,8.20484,10.1069,7.47574,22.4273,22.4662,22.4739,29.3239,11.3528,4824,1933,22.4742
ssd_deeplab_mnv2,3,30,673,1,1,1,42.986,38.7512,37.3425,30.0081,29.956,29.9464,8.57573,10.032,7.60612,22.4273,22.4663,22.4735,30.6951,11.3269,4859,2544,22.4741
