model_count,batch,model,own_pri,max_other_pri,advantage,latency,total_time,fps,hrtt_lat,npu
1.0,1.0,det,0.0,,,427.551,24.6963,27.256,285.809,98.8579
1.0,1.0,det,0.0,,,427.351,24.6939,27.258,285.81,98.4879
1.0,1.0,det,0.0,,,427.552,24.6961,27.256,285.798,96.9371
1.0,1.0,det,15.0,,,427.432,24.6957,27.257,285.827,98.72
1.0,1.0,det,15.0,,,427.506,24.6947,27.257,285.826,98.7483
1.0,1.0,det,15.0,,,427.386,24.6952,27.257,285.871,97.2267
1.0,1.0,det,31.0,,,427.346,24.6945,27.258,285.825,96.9771
1.0,1.0,det,31.0,,,427.23,24.6953,27.257,285.868,98.8596
1.0,1.0,det,31.0,,,427.291,24.6946,27.258,285.816,98.9554
1.0,1.0,seg,0.0,,,481.811,33.0519,20.368,377.891,98.105
1.0,1.0,seg,0.0,,,481.983,33.0537,20.354,376.862,97.9009
1.0,1.0,seg,0.0,,,481.89,33.053,20.355,377.372,97.8472
1.0,1.0,seg,15.0,,,482.079,33.0521,20.355,377.29,99.2791
1.0,1.0,seg,15.0,,,482.004,33.0513,20.356,377.308,99.2447
1.0,1.0,seg,15.0,,,481.989,33.0512,20.355,377.706,99.3244
1.0,1.0,seg,31.0,,,481.895,33.0503,20.366,377.407,99.1897
1.0,1.0,seg,31.0,,,481.95,33.0529,20.359,377.311,99.2034
1.0,1.0,seg,31.0,,,481.962,33.0526,20.355,377.379,99.2656
1.0,1.0,pose,0.0,,,355.021,24.4241,27.557,276.374,97.0475
1.0,1.0,pose,0.0,,,355.274,24.4235,27.557,276.565,98.6787
1.0,1.0,pose,0.0,,,355.08,24.4229,27.558,276.55,98.7496
1.0,1.0,pose,15.0,,,355.138,24.4251,27.556,276.574,99.2291
1.0,1.0,pose,15.0,,,355.06,24.4237,27.557,276.597,98.6748
1.0,1.0,pose,15.0,,,355.125,24.4246,27.556,276.6,98.9252
1.0,1.0,pose,31.0,,,355.1,24.4239,27.557,276.947,98.8248
1.0,1.0,pose,31.0,,,355.16,24.4278,27.553,276.549,98.8378
1.0,1.0,pose,31.0,,,355.061,24.4238,27.558,276.572,96.8737
1.0,10.0,det,0.0,,,563.613,12.4643,54.02,158.943,95.8191
1.0,10.0,det,0.0,,,563.255,12.4465,54.096,159.168,92.6169
1.0,10.0,det,0.0,,,563.405,12.4523,54.07,159.233,95.7291
