model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
2,63,0,1,1,0,0,0,,7737.74,7305.277,,35.333,34.413,,15.529,15.692,,1984.394,1622.989,98.591,0.58,0.002,14.884,37.41
2,63,0,1,1,0,0,15,,7851.7,3940.853,,35.514,17.776,,4.362,27.741,,2879.867,1442.568,98.68,0.618,0.002,14.742,37.384
2,63,0,1,1,0,0,31,,7817.017,3920.217,,35.232,17.581,,5.034,27.62,,2953.546,1438.541,98.14,0.616,0.002,15.087,37.458
2,63,0,1,1,0,15,0,,4663.14,7491.497,,21.1,35.097,,27.828,2.061,,1727.437,2765.999,98.583,0.579,0.002,14.699,37.501
2,63,0,1,1,0,15,15,,7641.503,7239.267,,35.212,34.283,,15.739,15.698,,1889.681,1568.708,98.298,0.58,0.002,14.711,37.518
2,63,0,1,1,0,15,31,,7719.26,3921.62,,34.718,17.523,,4.855,28.165,,2931.834,1439.712,99.53,0.628,0.002,14.926,37.433
2,63,0,1,1,0,31,0,,4627.063,7427.187,,20.74,34.766,,27.812,2.741,,1698.55,2738.358,98.543,0.579,0.002,14.523,37.408
2,63,0,1,1,0,31,15,,4648.75,7396.397,,20.903,34.625,,27.966,2.399,,1718.616,2866.879,99.064,0.582,0.002,14.584,37.427
2,63,0,1,1,0,31,31,,7687.327,7297.243,,35.308,34.387,,15.727,15.78,,1939.718,1599.941,98.576,0.579,0.002,14.783,37.546
2,63,1,0,1,0,0,0,6733.35,,6859.813,31.853,,32.066,18.175,,18.12,1314.759,,1580.849,98.004,0.655,0.002,15.209,34.901
2,63,1,0,1,0,0,15,7337.617,,3916.25,33.804,,17.568,7.671,,27.314,1753.378,,1430.915,98.713,0.649,0.001,16.368,34.894
2,63,1,0,1,0,0,31,7340.397,,3921.867,33.778,,17.62,7.339,,27.511,1756.539,,1438.831,98.02,0.64,0.001,16.342,34.872
2,63,1,0,1,15,0,0,3326.177,,6980.847,14.262,,31.409,27.47,,11.072,1147.452,,1882.005,98.171,0.721,0.002,14.37,34.938
2,63,1,0,1,15,0,15,6828.56,,6948.473,32.482,,32.44,18.121,,17.972,1307.973,,1573.702,98.395,0.65,0.001,15.317,34.935
2,63,1,0,1,15,0,31,7315.033,,3918.89,33.679,,17.54,7.688,,27.425,1751.04,,1438.575,98.512,0.638,0.002,16.538,35.008
2,63,1,0,1,31,0,0,3332.653,,6903.513,14.255,,31.141,27.78,,10.812,1152.678,,1853.29,97.425,0.716,0.001,14.31,34.869
2,63,1,0,1,31,0,15,3347.143,,6910.743,14.339,,31.174,27.702,,10.877,1157.65,,1874.44,97.462,0.714,0.001,14.317,34.897
2,63,1,0,1,31,0,31,6902.02,,6908.807,32.828,,32.477,18.345,,17.967,1316.115,,1575.469,98.52,0.649,0.002,15.274,34.926
2,63,1,1,0,0,0,0,7089.63,7381.157,,34.39,34.197,,17.038,16.689,,1289.971,1752.895,,97.185,0.633,0.002,14.215,37.019
2,63,1,1,0,0,15,0,7519.99,4631.317,,35.091,20.81,,3.498,27.76,,1822.38,1709.246,,98.863,0.578,0.003,15.431,36.972
2,63,1,1,0,0,31,0,7573.82,4697.59,,35.339,21.276,,3.161,27.392,,2046.215,1748.964,,98.568,0.57,0.004,15.757,37.087
2,63,1,1,0,15,0,0,3362.96,7365.883,,14.41,32.918,,27.613,10.16,,1161.021,2153.619,,97.822,0.725,0.002,13.641,36.981
2,63,1,1,0,15,15,0,7007.863,7365.157,,33.653,34.141,,17.637,16.179,,1320.479,1754.997,,97.668,0.629,0.002,14.178,37.075
2,63,1,1,0,15,31,0,7563.387,4644.517,,35.285,20.869,,3.683,27.438,,1819.5,1713.671,,98.462,0.571,0.002,15.509,37.028
2,63,1,1,0,31,0,0,3345.697,7338.927,,14.345,32.702,,27.472,10.219,,1154.15,2199.622,,98.167,0.721,0.002,13.77,37.015
2,63,1,1,0,31,15,0,3331.843,7345.2,,14.288,32.848,,27.612,10.38,,1147.598,2155.868,,98.234,0.739,0.002,13.711,36.986
2,63,1,1,0,31,31,0,7050.283,7397.043,,34.073,34.259,,17.337,16.306,,1300.252,1747.957,,97.745,0.642,0.002,14.081,37.104
