model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
1,1,0,0,1,0,0,0,,,355.125,,,24.424,,,27.557,,,276.496,98.159,0.041,0.002,9.236,22.505
1,1,0,0,1,0,0,15,,,355.108,,,24.424,,,27.556,,,276.59,98.943,0.041,0.001,9.217,22.541
1,1,0,0,1,0,0,31,,,355.107,,,24.425,,,27.556,,,276.689,98.179,0.041,0.001,9.208,22.483
1,1,0,1,0,0,0,0,,481.895,,,33.053,,,20.359,,,377.375,,97.951,0.04,0.002,4.666,22.658
1,1,0,1,0,0,15,0,,482.024,,,33.052,,,20.355,,,377.435,,99.283,0.039,0.001,4.866,22.641
1,1,0,1,0,0,31,0,,481.936,,,33.052,,,20.36,,,377.366,,99.22,0.039,0.001,4.744,22.634
1,1,1,0,0,0,0,0,427.485,,,24.695,,,27.257,,,285.806,,,98.094,0.04,0.001,6.639,22.427
1,1,1,0,0,15,0,0,427.441,,,24.695,,,27.257,,,285.841,,,98.232,0.041,0.001,6.481,22.472
1,1,1,0,0,31,0,0,427.289,,,24.695,,,27.258,,,285.836,,,98.264,0.041,0.001,6.486,22.397
1,10,0,0,1,0,0,0,,,613.165,,,14.349,,,46.911,,,189.143,94.983,4.81,0.002,16.659,23.216
1,10,0,0,1,0,0,15,,,618.753,,,14.47,,,46.521,,,190.795,96.435,4.77,0.003,17.171,23.314
1,10,0,0,1,0,0,31,,,616.462,,,14.422,,,46.675,,,190.125,96.957,4.785,0.003,17.114,23.432
1,10,0,1,0,0,0,0,,808.767,,,18.707,,,35.984,,,250.289,,97.089,3.689,0.002,16.208,23.693
1,10,0,1,0,0,15,0,,801.705,,,18.558,,,36.273,,,247.099,,97.049,3.701,0.002,15.952,23.597
1,10,0,1,0,0,31,0,,797.41,,,18.458,,,36.468,,,245.807,,96.138,3.739,0.002,15.82,23.563
1,10,1,0,0,0,0,0,563.424,,,12.454,,,54.062,,,159.115,,,94.722,5.543,0.002,13.07,23.052
1,10,1,0,0,15,0,0,565.256,,,12.504,,,53.847,,,159.362,,,93.17,5.52,0.002,13.29,23.022
1,10,1,0,0,31,0,0,565.926,,,12.522,,,53.772,,,159.592,,,93.199,5.513,0.002,13.311,23.101
1,50,0,0,1,0,0,0,,,3175.33,,,17.074,,,39.429,,,1127.546,96.495,0.879,0.002,17.309,27.489
1,50,0,0,1,0,0,15,,,3154.99,,,16.971,,,39.661,,,1120.893,95.297,0.884,0.002,16.762,27.555
1,50,0,0,1,0,0,31,,,3163.117,,,17.009,,,39.573,,,1124.958,96.694,0.882,0.002,16.762,27.533
1,50,0,1,0,0,0,0,,3783.427,,,20.288,,,33.178,,,1370.146,,96.81,0.739,0.002,17.301,29.135
1,50,0,1,0,0,15,0,,3813.587,,,20.471,,,32.883,,,1393.019,,96.671,0.733,0.002,17.6,29.081
1,50,0,1,0,0,31,0,,3765.013,,,20.139,,,33.427,,,1358.362,,95.941,0.745,0.002,17.307,29.156
1,50,1,0,0,0,0,0,2699.58,,,14.078,,,47.833,,,913.552,,,94.617,1.066,0.001,12.057,27.01
1,50,1,0,0,15,0,0,2700.993,,,14.077,,,47.835,,,913.667,,,94.827,1.066,0.001,12.042,27.108
1,50,1,0,0,31,0,0,2698.573,,,14.062,,,47.887,,,910.752,,,95.626,1.067,0.001,11.984,26.938
1,63,0,0,1,0,0,0,,,3859.66,,,16.942,,,39.73,,,1407.992,96.763,0.709,0.002,16.715,28.765
1,63,0,0,1,0,0,15,,,3865.1,,,16.981,,,39.64,,,1402.276,96.88,0.707,0.002,16.39,28.706
1,63,0,0,1,0,0,31,,,3851.983,,,16.925,,,39.771,,,1402.112,95.642,0.709,0.002,16.426,28.735
1,63,0,1,0,0,0,0,,4554.497,,,19.982,,,33.686,,,1674.968,,97.492,0.601,0.002,16.794,30.762
1,63,0,1,0,0,15,0,,4546.863,,,19.962,,,33.721,,,1668.787,,95.895,0.601,0.002,16.71,30.743
1,63,0,1,0,0,31,0,,4540.85,,,19.903,,,33.819,,,1667.379,,95.661,0.603,0.002,16.852,30.795
1,63,1,0,0,0,0,0,3309.07,,,14.123,,,47.68,,,1149.325,,,97.817,0.921,0.001,11.696,28.234
1,63,1,0,0,15,0,0,3303.867,,,14.099,,,47.761,,,1147.565,,,95.043,0.922,0.002,11.681,28.261
1,63,1,0,0,31,0,0,3302.483,,,14.09,,,47.794,,,1147.808,,,94.898,0.923,0.002,11.85,28.255
2,1,0,1,1,0,0,0,,871.544,858.335,,62.388,62.427,,10.212,10.186,,41.214,30.716,96.131,20.437,0.002,4.053,23.137
2,1,0,1,1,0,0,15,,806.93,355.405,,57.498,24.431,,0.834,26.39,,231.923,276.371,99.152,0.079,0.006,5.373,23.146
