run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,0,0,1,1,1,1,0,0,0,0,427.551,NaN,NaN,6.60985,22.4396,3347,30,98.8579,0.0400,0.0010,24.6971,27.2560,285.8090,288.1060,0.1900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6963,NaN,NaN
2,1,0,0,1,1,1,1,0,0,0,0,427.351,NaN,NaN,6.61191,22.4283,3354,28,98.4879,0.0410,0.0010,24.6946,27.2580,285.8100,287.9800,0.2010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6939,NaN,NaN
3,1,0,0,1,1,1,1,0,0,0,0,427.552,NaN,NaN,6.69508,22.4133,3355,41,96.9371,0.0400,0.0010,24.6969,27.2560,285.7980,288.0960,0.2010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6961,NaN,NaN
1,1,0,0,1,1,1,1,0,15,0,0,427.432,NaN,NaN,6.46435,22.4516,3344,14,98.7200,0.0410,0.0010,24.6964,27.2570,285.8270,288.0780,0.1960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6957,NaN,NaN
2,1,0,0,1,1,1,1,0,15,0,0,427.506,NaN,NaN,6.44491,22.3991,3355,26,98.7483,0.0410,0.0010,24.6953,27.2570,285.8260,289.0040,0.1870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6947,NaN,NaN
3,1,0,0,1,1,1,1,0,15,0,0,427.386,NaN,NaN,6.53235,22.5642,3352,34,97.2267,0.0410,0.0010,24.6959,27.2570,285.8710,287.9920,0.2010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6952,NaN,NaN
1,1,0,0,1,1,1,1,0,31,0,0,427.346,NaN,NaN,6.54545,22.3945,3355,16,96.9771,0.0410,0.0010,24.6952,27.2580,285.8250,287.9440,0.1890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6945,NaN,NaN
2,1,0,0,1,1,1,1,0,31,0,0,427.23,NaN,NaN,6.44089,22.3908,3351,25,98.8596,0.0410,0.0010,24.6961,27.2570,285.8680,288.0630,0.1910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6953,NaN,NaN
3,1,0,0,1,1,1,1,0,31,0,0,427.291,NaN,NaN,6.47273,22.4057,3344,27,98.9554,0.0410,0.0010,24.6953,27.2580,285.8160,288.0030,0.1980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6946,NaN,NaN
1,0,1,0,1,1,1,1,0,0,0,0,NaN,481.811,NaN,4.58573,22.7568,7434,2,98.1050,0.0390,0.0020,33.0526,NaN,NaN,NaN,NaN,20.3680,377.8910,382.9810,0.3630,NaN,NaN,NaN,NaN,NaN,33.0519,NaN
2,0,1,0,1,1,1,1,0,0,0,0,NaN,481.983,NaN,4.70753,22.5919,7452,3,97.9009,0.0400,0.0020,33.0544,NaN,NaN,NaN,NaN,20.3540,376.8620,382.9350,0.3870,NaN,NaN,NaN,NaN,NaN,33.0537,NaN
3,0,1,0,1,1,1,1,0,0,0,0,NaN,481.89,NaN,4.70533,22.625,7443,1,97.8472,0.0400,0.0010,33.0537,NaN,NaN,NaN,NaN,20.3550,377.3720,383.0070,0.3400,NaN,NaN,NaN,NaN,NaN,33.053,NaN
