run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
1,1,1,1,1,1,15,15,0,0,15,15,131.859365,88.764543,88.403894,12.2736,12.9979,15190,3093,88.3241
2,1,1,1,1,1,15,15,0,0,15,15,131.738938,88.815631,88.491515,12.1337,13.1763,14938,3106,88.5453
3,1,1,1,1,1,15,15,0,0,15,15,131.525295,88.579719,88.606267,11.4072,13.1596,14856,2867,88.8702
1,1,1,1,1,1,15,31,0,0,15,31,131.480872,89.140682,88.370724,11.1674,13.055,14983,2932,88.5490
2,1,1,1,1,1,15,31,0,0,15,31,131.633056,89.009907,88.300092,11.721,13.1819,15004,2872,88.7964
3,1,1,1,1,1,15,31,0,0,15,31,131.775932,89.430205,88.591421,12.0116,13.1345,14996,2835,88.6981
1,1,1,1,1,1,31,15,0,0,31,15,131.657704,89.336630,89.024955,11.2171,13.194,14845,2810,88.6006
2,1,1,1,1,1,31,15,0,0,31,15,131.590992,89.215138,88.923440,10.7946,13.2107,14901,2718,88.9154
3,1,1,1,1,1,31,15,0,0,31,15,131.775925,88.697529,88.696293,11.641,13.1013,14908,3039,88.6455
1,1,1,1,1,1,31,31,0,0,31,31,131.928019,89.248360,88.748626,12.102,13.1974,14917,2940,88.4316
2,1,1,1,1,1,31,31,0,0,31,31,131.963904,89.047734,88.659450,12.6682,13.1486,14958,3081,88.4883
3,1,1,1,1,1,31,31,0,0,31,31,131.733472,88.747828,88.506350,11.8748,13.1603,14972,3002,88.5820
1,1,1,1,1,15,1,15,0,15,0,15,75.101868,129.956087,75.057424,11.2947,13.036,15205,2754,90.4570
2,1,1,1,1,15,1,15,0,15,0,15,74.752570,129.736555,74.702792,11.3035,13.1533,15187,2837,90.2721
3,1,1,1,1,15,1,15,0,15,0,15,75.295947,129.732042,74.716323,11.6475,13.0583,15139,2615,90.1754
1,1,1,1,1,15,1,31,0,15,0,31,75.268399,129.850209,75.361468,11.5331,13.0309,15169,2601,90.6215
2,1,1,1,1,15,1,31,0,15,0,31,75.636300,129.912854,75.067281,11.0023,13.023,15202,2792,90.5947
3,1,1,1,1,15,1,31,0,15,0,31,74.673144,129.721922,74.984616,11.2591,13.0165,15147,2774,90.6916
1,1,1,1,1,15,15,1,0,15,15,0,86.069432,86.635403,126.033439,11.86,13.1724,15239,3061,90.9558
2,1,1,1,1,15,15,1,0,15,15,0,86.218121,86.771448,126.005562,11.9755,13.1711,15146,2986,91.2704
3,1,1,1,1,15,15,1,0,15,15,0,86.331001,86.721355,126.085696,11.9823,13.1477,15278,3140,90.8829
1,1,1,1,1,15,31,1,0,15,31,0,86.072376,87.042446,125.825517,11.048,13.0027,15127,2908,91.2454
2,1,1,1,1,15,31,1,0,15,31,0,86.563000,86.462700,125.741961,10.9406,12.9876,15150,2945,91.0467
3,1,1,1,1,15,31,1,0,15,31,0,86.197668,86.772648,126.088913,11.804,13.12,15158,3095,90.9081
1,1,1,1,1,15,31,31,0,15,31,31,131.518188,89.236867,88.420060,11.6886,13.1047,14901,2883,88.6522
2,1,1,1,1,15,31,31,0,15,31,31,131.801725,88.854346,88.597035,12.2101,12.9658,15042,2885,88.5356
3,1,1,1,1,15,31,31,0,15,31,31,131.663558,88.644789,88.637608,11.7614,13.0636,14960,3105,88.4800
1,1,1,1,1,31,1,15,0,31,0,15,74.994282,129.774679,74.758877,11.3343,13.1328,15193,2776,90.2042
2,1,1,1,1,31,1,15,0,31,0,15,74.828338,129.973463,74.819168,12.051,13.167,15230,2877,90.2705
3,1,1,1,1,31,1,15,0,31,0,15,74.746344,129.901364,74.882742,12.0443,13.1886,15204,2907,90.3489
1,1,1,1,1,31,1,31,0,31,0,31,74.868072,129.971860,74.940454,12.0992,13.1426,15201,2898,90.2965
2,1,1,1,1,31,1,31,0,31,0,31,75.524556,130.103949,74.870042,11.5423,13.0426,15176,2933,90.2415
3,1,1,1,1,31,1,31,0,31,0,31,75.083807,130.218329,74.959546,11.9895,13.0549,15224,2942,90.1818
1,1,1,1,1,31,15,1,0,31,15,0,86.455953,86.544073,125.634846,11.2683,13.1424,15204,2969,91.3180
2,1,1,1,1,31,15,1,0,31,15,0,86.261460,86.857101,125.972709,12.0557,13.252,15147,3009,90.9863
3,1,1,1,1,31,15,1,0,31,15,0,86.600747,86.589956,125.811532,10.9957,13.0064,15089,3028,90.9204
1,1,1,1,1,31,15,31,0,31,15,31,74.848436,129.866761,74.928736,11.6098,13.0282,15159,2802,90.2565
2,1,1,1,1,31,15,31,0,31,15,31,74.792755,129.585060,75.087526,10.8621,12.953,15188,2651,90.6876
3,1,1,1,1,31,15,31,0,31,15,31,75.143965,130.314039,75.202154,12.4673,13.2212,15211,2823,90.2326
1,1,1,1,1,31,31,15,0,31,31,15,86.778658,86.934641,126.327559,12.2899,13.2263,15155,3066,90.9628
2,1,1,1,1,31,31,15,0,31,31,15,86.622454,86.169341,125.693299,10.9746,12.9736,15207,2892,91.2399
3,1,1,1,1,31,31,15,0,31,31,15,86.087941,86.631494,125.727329,11.2104,12.999,15124,2912,91.3188
