use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,context_switches,npu_percent
1,0,0,1,1,0,0,None,None,35.695848,None,None,11.897,11.6134,484895,70.9233
1,0,0,1,1,0,15,None,None,35.714177,None,None,11.7679,11.5395,471064,70.9079
1,0,0,1,1,0,31,None,None,35.712465,None,None,11.9127,11.6433,501326,70.9925
0,1,0,1,1,0,None,0,None,None,47.873589,None,10.9618,11.8317,744344,83.1485
0,1,0,1,1,0,None,15,None,None,47.864122,None,11.1768,11.7922,777128,83.0876
0,1,0,1,1,0,None,31,None,None,47.853367,None,10.814,11.7663,724421,83.1626
0,0,1,1,1,0,None,None,0,None,None,32.987743,13.0381,11.6383,698594,77.1407
0,0,1,1,1,0,None,None,15,None,None,32.982743,12.6818,11.6573,659362,77.1324
0,0,1,1,1,0,None,None,31,None,None,32.990082,13.023,11.5928,694788,77.0216
1,1,0,1,1,0,0,0,None,82.990005,83.424086,None,12.4593,12.3767,1280253,97.9953
1,1,0,1,1,0,0,15,None,83.060614,83.383209,None,12.2459,12.3244,1292916,98.0083
1,1,0,1,1,0,0,31,None,83.118085,83.482809,None,12.0678,12.3655,1272633,97.9986
1,1,0,1,1,0,15,0,None,82.970816,83.407252,None,12.4848,12.2934,1285019,97.9750
1,1,0,1,1,0,15,15,None,82.950071,83.512546,None,12.3541,12.2774,1279965,97.9800
1,1,0,1,1,0,15,31,None,82.983617,83.516962,None,12.4353,12.2376,1273415,97.9801
1,1,0,1,1,0,31,0,None,82.977472,83.407213,None,12.4266,12.2174,1279878,97.9616
1,1,0,1,1,0,31,15,None,82.992722,83.342297,None,12.3647,12.2532,1267928,98.0133
1,1,0,1,1,0,31,31,None,82.948164,83.452479,None,12.4391,12.2852,1278831,97.9859
1,0,1,1,1,0,0,None,0,70.386638,None,70.378919,13.3973,12.076,1218595,97.6534
1,0,1,1,1,0,0,None,15,70.329444,None,70.484382,13.0548,12.1057,1216263,97.6589
1,0,1,1,1,0,0,None,31,70.254540,None,70.012990,13.9104,12.0769,1217971,97.6305
1,0,1,1,1,0,15,None,0,70.331809,None,70.349276,13.3271,12.1014,1212298,97.6563
1,0,1,1,1,0,15,None,15,70.426801,None,70.436722,12.988,12.1449,1199983,97.6931
1,0,1,1,1,0,15,None,31,70.376476,None,70.526298,12.9591,12.1005,1198153,97.6784
1,0,1,1,1,0,31,None,0,70.391686,None,70.360470,13.4647,12.0331,1224176,97.6619
1,0,1,1,1,0,31,None,15,70.358640,None,70.390250,13.4064,11.965,1221211,97.6641
1,0,1,1,1,0,31,None,31,70.368056,None,70.481480,13.0918,12.122,1219392,97.6695
0,1,1,1,1,0,None,0,0,None,83.644611,83.075633,12.5921,12.2778,1496737,97.8767
0,1,1,1,1,0,None,0,15,None,83.758493,83.181386,12.1073,12.3508,1496602,97.8956
0,1,1,1,1,0,None,0,31,None,83.658398,82.996744,12.6613,12.3696,1488183,97.8722
0,1,1,1,1,0,None,15,0,None,83.634860,83.050522,12.0347,12.3579,1499637,97.9382
