run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose
1,1,1,1,1,1,15,15,0,0,15,15,131.859365,88.764543,88.403894,12.2736,12.9979,15190,3093,88.3241,19.242,6.309,29.518,NaN,NaN,NaN,NaN,9.587,55.668,70.04,164.475,9.621,43.466,56.278,163.209
2,1,1,1,1,1,15,15,0,0,15,15,131.738938,88.815631,88.491515,12.1337,13.1763,14938,3106,88.5453,19.212,6.468,29.513,NaN,NaN,NaN,NaN,9.589,55.741,70.156,161.849,9.589,43.366,55.507,163.304
3,1,1,1,1,1,15,15,0,0,15,15,131.525295,88.579719,88.606267,11.4072,13.1596,14856,2867,88.8702,19.274,6.402,29.522,NaN,NaN,NaN,NaN,9.62,55.62,68.982,163.105,9.62,43.234,54.155,163.572
1,1,1,1,1,1,15,31,0,0,15,31,131.480872,89.140682,88.370724,11.1674,13.055,14983,2932,88.5490,19.306,6.398,29.524,NaN,NaN,NaN,NaN,9.619,55.462,68.63,164.109,9.653,43.252,54.719,161.675
2,1,1,1,1,1,15,31,0,0,15,31,131.633056,89.009907,88.300092,11.721,13.1819,15004,2872,88.7964,19.297,6.317,29.539,NaN,NaN,NaN,NaN,9.614,55.573,67.992,165.191,9.648,43.274,54.233,166.106
3,1,1,1,1,1,15,31,0,0,15,31,131.775932,89.430205,88.591421,12.0116,13.1345,14996,2835,88.6981,19.171,6.536,29.524,NaN,NaN,NaN,NaN,9.552,55.741,69.883,161.033,9.585,43.527,68.885,160.04
1,1,1,1,1,1,31,15,0,0,31,15,131.657704,89.336630,89.024955,11.2171,13.194,14845,2810,88.6006,19.209,6.365,29.517,NaN,NaN,NaN,NaN,9.588,55.75,72.159,162.204,9.588,43.476,57.738,161.581
2,1,1,1,1,1,31,15,0,0,31,15,131.590992,89.215138,88.923440,10.7946,13.2107,14901,2718,88.9154,19.251,6.334,29.504,NaN,NaN,NaN,NaN,9.626,55.684,68.889,161.907,9.592,43.336,54.943,160.075
3,1,1,1,1,1,31,15,0,0,31,15,131.775925,88.697529,88.696293,11.641,13.1013,14908,3039,88.6455,19.184,6.436,29.556,NaN,NaN,NaN,NaN,9.575,55.783,70.973,163.805,9.575,43.499,56.659,164.273
1,1,1,1,1,1,31,31,0,0,31,31,131.928019,89.248360,88.748626,12.102,13.1974,14917,2940,88.4316,19.14,6.556,29.571,NaN,NaN,NaN,NaN,9.536,55.918,79.502,163.103,9.57,43.489,58.543,162.839
2,1,1,1,1,1,31,31,0,0,31,31,131.963904,89.047734,88.659450,12.6682,13.1486,14958,3081,88.4883,19.12,6.623,29.498,NaN,NaN,NaN,NaN,9.526,55.86,76.173,161.152,9.56,43.583,57.319,161.94
