run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
1,1,0,0,1,1,0,0,None,None,35.886125,None,None,10.6358,11.4306,379,210,67.9400
2,1,0,0,1,1,0,0,None,None,35.817665,None,None,10.8934,11.5159,374,203,67.8233
3,1,0,0,1,1,0,0,None,None,35.815049,None,None,10.7968,11.4083,378,191,68.3400
1,1,0,0,1,1,0,15,None,None,35.856553,None,None,10.8092,11.4646,384,208,68.0067
2,1,0,0,1,1,0,15,None,None,35.875460,None,None,10.6813,11.7328,376,192,67.8267
3,1,0,0,1,1,0,15,None,None,35.832504,None,None,10.7471,11.3914,391,210,67.8533
1,1,0,0,1,1,0,31,None,None,35.903551,None,None,10.4323,11.5912,382,193,67.8967
2,1,0,0,1,1,0,31,None,None,35.824007,None,None,10.197,11.4515,381,192,68.3700
3,1,0,0,1,1,0,31,None,None,35.722553,None,None,10.2907,11.4761,378,188,68.5767
1,0,1,0,1,1,0,None,0,None,None,47.948951,None,9.97722,11.7694,1000,93,81.4350
2,0,1,0,1,1,0,None,0,None,None,47.952992,None,9.75387,11.7623,1000,88,81.2525
3,0,1,0,1,1,0,None,0,None,None,47.927723,None,9.90415,11.6219,1000,97,81.3375
1,0,1,0,1,1,0,None,15,None,None,48.004390,None,10.3008,11.7221,1001,108,81.3750
2,0,1,0,1,1,0,None,15,None,None,47.957182,None,9.89061,11.6346,1000,75,81.2875
3,0,1,0,1,1,0,None,15,None,None,47.988249,None,10.0182,11.8893,1001,93,81.1125
1,0,1,0,1,1,0,None,31,None,None,47.992296,None,10.2634,11.8796,1000,90,81.3750
2,0,1,0,1,1,0,None,31,None,None,47.928936,None,10.2506,11.9832,1001,96,81.5075
3,0,1,0,1,1,0,None,31,None,None,47.984638,None,10.0137,11.8479,1001,93,81.2075
1,0,0,1,1,1,0,None,None,0,None,None,32.631672,10.6383,11.4532,900,154,74.3533
2,0,0,1,1,1,0,None,None,0,None,None,32.660794,11.3679,11.4776,901,141,74.3433
3,0,0,1,1,1,0,None,None,0,None,None,32.682871,11.2843,11.5053,900,146,74.1400
1,0,0,1,1,1,0,None,None,15,None,None,32.536905,10.8532,11.5278,900,151,74.3633
2,0,0,1,1,1,0,None,None,15,None,None,32.681798,10.9794,11.4099,900,140,74.1467
3,0,0,1,1,1,0,None,None,15,None,None,32.703929,11.3184,11.4473,901,153,74.2433
1,0,0,1,1,1,0,None,None,31,None,None,32.681620,11.2562,11.6952,900,146,73.8933
2,0,0,1,1,1,0,None,None,31,None,None,32.686102,10.9794,11.7019,900,160,74.0600
3,0,0,1,1,1,0,None,None,31,None,None,32.638510,10.8886,11.6598,901,151,74.1267
1,1,1,0,1,1,0,0,0,None,84.164732,84.283628,None,12.0798,12.4752,1396,329,94.1737
2,1,1,0,1,1,0,0,0,None,84.211809,84.288758,None,11.85,12.469,1397,316,94.2488
3,1,1,0,1,1,0,0,0,None,84.191502,84.424282,None,11.9978,12.386,1388,284,94.2225
1,1,1,0,1,1,0,0,15,None,84.288435,84.410622,None,12.8142,12.3819,1390,312,94.2237
2,1,1,0,1,1,0,0,15,None,84.280453,84.327464,None,12.0558,12.2279,1390,283,94.0563
3,1,1,0,1,1,0,0,15,None,84.262744,84.436015,None,12.1378,12.3001,1393,305,94.1175
1,1,1,0,1,1,0,0,31,None,84.241008,84.442986,None,12.8388,12.4264,1391,286,94.0187
2,1,1,0,1,1,0,0,31,None,84.225768,84.334176,None,12.1518,12.405,1393,307,94.1988
3,1,1,0,1,1,0,0,31,None,84.280312,84.396047,None,12.1718,12.2515,1393,270,94.1650
1,1,1,0,1,1,0,15,0,None,84.376758,84.415746,None,12.3838,12.4105,1389,279,94.1875
2,1,1,0,1,1,0,15,0,None,84.217489,84.462163,None,12.2917,12.3894,1388,318,94.1287
3,1,1,0,1,1,0,15,0,None,84.196109,84.421590,None,12.7596,12.4015,1387,262,94.1800
1,1,1,0,1,1,0,15,15,None,84.271712,84.467447,None,12.2917,12.417,1395,310,94.0162
2,1,1,0,1,1,0,15,15,None,84.172344,84.357030,None,11.9562,12.5378,1392,302,94.2200
3,1,1,0,1,1,0,15,15,None,84.245666,84.378898,None,12.1005,12.4795,1391,293,94.2088
1,1,1,0,1,1,0,15,31,None,84.254233,84.393234,None,11.9399,12.5106,1394,313,94.0300
2,1,1,0,1,1,0,15,31,None,84.274008,84.308183,None,11.895,12.5247,1390,280,94.0075
3,1,1,0,1,1,0,15,31,None,84.282684,84.490732,None,11.9432,12.4429,1393,272,94.2025
1,1,1,0,1,1,0,31,0,None,84.170497,84.316031,None,12.0492,12.5544,1395,297,94.2587
2,1,1,0,1,1,0,31,0,None,84.363614,84.395338,None,11.8644,12.3647,1396,280,94.2050
3,1,1,0,1,1,0,31,0,None,84.174969,84.381821,None,12.0699,12.6094,1395,279,94.1788
1,1,1,0,1,1,0,31,15,None,84.268038,84.494115,None,11.9639,12.3681,1390,282,94.1863
2,1,1,0,1,1,0,31,15,None,84.185307,84.467877,None,11.9432,12.5162,1394,285,94.1950
3,1,1,0,1,1,0,31,15,None,84.245112,84.331989,None,12.1452,12.3653,1389,305,94.0212
1,1,1,0,1,1,0,31,31,None,84.206099,84.459296,None,11.8885,12.3142,1390,266,94.1725
2,1,1,0,1,1,0,31,31,None,84.254070,84.393598,None,12.0393,12.4699,1396,266,94.0187
3,1,1,0,1,1,0,31,31,None,84.180844,84.364611,None,11.9015,12.4029,1398,334,94.0738
1,1,0,1,1,1,0,0,None,0,71.963695,None,71.769651,12.6103,11.9514,1298,303,92.4957
2,1,0,1,1,1,0,0,None,0,72.048330,None,71.679769,12.4882,12.0962,1290,327,92.6814
3,1,0,1,1,1,0,0,None,0,71.925269,None,71.604295,12.8149,12.217,1297,332,92.7614
1,1,0,1,1,1,0,0,None,15,71.956569,None,71.869966,12.5315,12.0442,1287,310,92.4971
2,1,0,1,1,1,0,0,None,15,72.179993,None,71.729530,12.7794,12.4032,1295,358,92.6200
3,1,0,1,1,1,0,0,None,15,72.011942,None,71.721568,12.8342,12.0538,1291,341,92.4614
1,1,0,1,1,1,0,0,None,31,72.126288,None,71.757113,13.3228,12.4277,1290,322,92.4643
2,1,0,1,1,1,0,0,None,31,72.069840,None,71.724809,12.6143,12.307,1290,305,92.5086
3,1,0,1,1,1,0,0,None,31,72.085213,None,71.742652,13.0982,12.3814,1293,324,92.6629
1,1,0,1,1,1,0,15,None,0,71.718681,None,72.106302,13.6909,12.3088,1296,317,92.6514
2,1,0,1,1,1,0,15,None,0,72.052587,None,71.685203,12.8504,12.3369,1290,343,92.6871
3,1,0,1,1,1,0,15,None,0,71.961786,None,71.699580,13.2159,12.3745,1300,327,92.7500
1,1,0,1,1,1,0,15,None,15,72.036306,None,71.625645,13.3796,12.2846,1292,320,92.7029
2,1,0,1,1,1,0,15,None,15,72.085842,None,71.717948,12.8778,12.2244,1292,330,92.7171
3,1,0,1,1,1,0,15,None,15,72.015149,None,71.658014,13.201,12.3507,1296,329,92.6700
1,1,0,1,1,1,0,15,None,31,72.147571,None,71.696418,13.1778,12.1028,1290,370,92.4871
2,1,0,1,1,1,0,15,None,31,71.700649,None,72.022320,12.7995,12.345,1295,319,92.4500
3,1,0,1,1,1,0,15,None,31,72.108661,None,71.703219,12.8157,12.1232,1289,311,92.7657
1,1,0,1,1,1,0,31,None,0,71.890900,None,71.574871,12.9378,12.2612,1288,345,92.2600
2,1,0,1,1,1,0,31,None,0,72.069294,None,71.636630,12.7129,12.2732,1286,310,92.7286
3,1,0,1,1,1,0,31,None,0,72.060917,None,71.669252,12.7955,12.2496,1293,301,92.6557
1,1,0,1,1,1,0,31,None,15,72.036294,None,71.704441,12.8544,12.3444,1288,349,92.4671
2,1,0,1,1,1,0,31,None,15,72.032914,None,71.763924,12.7519,12.1954,1291,327,92.4971
3,1,0,1,1,1,0,31,None,15,72.051150,None,71.771518,12.5039,12.1078,1297,322,92.4500
1,1,0,1,1,1,0,31,None,31,72.016110,None,71.624460,12.6419,12.2569,1289,329,92.6486
2,1,0,1,1,1,0,31,None,31,72.086004,None,71.770130,12.6339,12.2893,1288,318,92.4871
3,1,0,1,1,1,0,31,None,31,71.929536,None,71.632215,12.5828,12.1938,1292,337,92.4371
1,0,1,1,1,1,0,None,0,0,None,86.126692,85.208090,12.0699,12.6251,1901,205,93.3662
2,0,1,1,1,1,0,None,0,0,None,85.696079,85.747248,12.1065,12.3627,1903,181,93.6650
