run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
1,1,0,0,1,1,0,0,None,None,35.662063,None,None,10.2429,11.5509,16309,0,71.9090
2,1,0,0,1,1,0,0,None,None,35.651599,None,None,10.2365,11.6547,16159,0,72.0536
3,1,0,0,1,1,0,0,None,None,35.663400,None,None,10.3151,11.6607,16218,0,71.7695
1,1,0,0,1,1,0,15,None,None,35.763996,None,None,10.5174,11.576,16860,0,71.7494
2,1,0,0,1,1,0,15,None,None,35.769613,None,None,10.4457,11.4995,16377,0,71.7496
3,1,0,0,1,1,0,15,None,None,35.739971,None,None,10.4522,11.6206,16644,0,71.7817
1,1,0,0,1,1,0,31,None,None,35.724868,None,None,10.4915,11.5405,16702,0,71.6110
2,1,0,0,1,1,0,31,None,None,35.795463,None,None,10.4405,11.4406,16578,0,71.8061
3,1,0,0,1,1,0,31,None,None,35.746666,None,None,10.5185,11.5211,16405,0,71.6898
1,0,1,0,1,1,0,None,0,None,None,47.845487,None,9.47857,11.9223,50000,0,83.9805
2,0,1,0,1,1,0,None,0,None,None,47.892725,None,9.79688,11.7432,50001,0,83.8900
3,0,1,0,1,1,0,None,0,None,None,47.852721,None,9.52577,11.8559,50000,0,84.0027
1,0,1,0,1,1,0,None,15,None,None,47.839948,None,9.38376,11.9331,50000,0,84.0811
2,0,1,0,1,1,0,None,15,None,None,47.885990,None,9.55925,11.7686,50001,0,83.9891
3,0,1,0,1,1,0,None,15,None,None,47.901604,None,9.78476,11.6981,50001,0,83.9189
1,0,1,0,1,1,0,None,31,None,None,47.890876,None,9.76237,11.919,50001,0,83.7461
2,0,1,0,1,1,0,None,31,None,None,47.876956,None,9.59446,11.97,50001,0,83.9695
3,0,1,0,1,1,0,None,31,None,None,47.933020,None,9.79117,11.6518,50001,0,83.8047
1,0,0,1,1,1,0,None,None,0,None,None,32.861816,11.0001,11.4771,44999,0,78.3561
2,0,0,1,1,1,0,None,None,0,None,None,32.993507,11.1714,11.4913,44996,0,78.2893
3,0,0,1,1,1,0,None,None,0,None,None,32.918410,11.1286,11.7366,44995,0,78.1627
1,0,0,1,1,1,0,None,None,15,None,None,32.985651,11.2536,11.5066,44999,0,78.2192
