run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose
1,1,1,0,1,1,1,None,0,0,0,None,86.225863,86.700294,None,12.1866,11.5725,9064,2200,96.3845,20.465,5.533,29.758,10.216,39.603,45.979,174.493,10.216,54.338,64.635,184.962,None,None,None,None
1,1,1,0,1,1,15,None,0,0,0,None,86.312671,86.693254,None,13.2365,11.5284,9085,2194,96.2927,20.299,5.545,29.755,10.116,39.772,46.62,172.697,10.149,54.902,76.758,183.364,None,None,None,None
1,1,1,0,1,1,31,None,0,0,0,None,86.410208,86.727842,None,13.3792,11.5709,9176,2135,96.2094,20.27,5.486,29.749,10.118,39.829,46.402,171.937,10.118,55.065,66.989,182.059,None,None,None,None
1,1,1,0,1,1,1,None,0,0,15,None,86.172659,86.506585,None,13.2025,11.5404,9153,2214,96.3177,20.401,5.465,29.753,10.184,39.683,46.51,174.015,10.184,54.619,68.197,185.27,None,None,None,None
1,1,1,0,1,1,15,None,0,0,15,None,86.130336,86.461849,None,12.5848,11.4896,9095,2188,96.3181,20.443,5.419,29.741,10.188,39.578,45.752,173.627,10.222,54.549,65.65,185.603,None,None,None,None
1,1,1,0,1,1,31,None,0,0,15,None,86.395148,86.612297,None,12.6395,11.4958,9092,2183,96.2913,20.339,5.46,29.746,10.153,39.787,46.041,171.646,10.153,54.808,67.801,181.803,None,None,None,None
1,1,1,0,1,1,1,None,0,0,31,None,86.505356,86.578039,None,12.2767,11.4956,9085,2084,96.3347,20.431,5.45,29.759,10.182,39.618,44.825,173.468,10.215,54.537,65.589,184.145,None,None,None,None
1,1,1,0,1,1,15,None,0,0,31,None,86.304841,86.848087,None,12.3527,11.4689,9058,2053,96.3400,20.398,5.433,29.759,10.182,39.657,45.439,173.861,10.182,54.694,65.651,184.337,None,None,None,None
1,1,1,0,1,1,31,None,0,0,31,None,86.279478,86.590730,None,13.3571,11.6126,9118,2061,96.2735,20.332,5.598,29.756,10.149,39.699,46.201,172.752,10.149,54.792,67.74,185.082,None,None,None,None
1,1,1,0,1,15,1,None,0,0,0,None,86.394429,86.663081,None,13.233,11.4991,9110,2072,96.2671,20.329,5.504,29.76,10.148,39.749,46.606,173.478,10.148,54.848,69.169,183.8,None,None,None,None
1,1,1,0,1,15,15,None,0,0,0,None,86.532318,86.828036,None,13.3818,11.5124,9116,2130,96.1669,20.234,5.542,29.753,10.083,39.821,48.227,172.624,10.117,55.162,75.381,184.309,None,None,None,None
1,1,1,0,1,15,31,None,0,0,0,None,86.292678,86.636073,None,12.7149,11.4639,9133,2170,96.3824,20.335,5.528,29.752,10.151,39.79,45.926,172.22,10.151,54.758,65.908,183.062,None,None,None,None
1,1,1,0,1,15,1,None,0,0,15,None,86.234593,86.359281,None,12.6443,11.4945,9136,2206,96.3031,20.399,5.542,29.756,10.183,39.624,46.329,174.589,10.183,54.61,66.983,184.166,None,None,None,None
1,1,1,0,1,15,15,None,0,0,15,None,86.174805,86.391838,None,12.5298,11.4295,9162,2199,96.3221,20.434,5.309,29.754,10.217,39.619,46.589,175.018,10.217,54.527,67.928,182.892,None,None,None,None
1,1,1,0,1,15,31,None,0,0,15,None,86.353461,86.576322,None,12.7708,11.5714,9159,2180,96.3234,20.342,5.441,29.741,10.154,39.735,46.278,173.868,10.154,54.864,67.143,182.269,None,None,None,None
1,1,1,0,1,15,1,None,0,0,31,None,86.294471,86.595481,None,13.2066,11.5354,9136,2186,96.3071,20.338,5.459,29.748,10.152,39.776,45.603,173.541,10.152,54.827,69.339,183.608,None,None,None,None
1,1,1,0,1,15,15,None,0,0,31,None,86.258694,86.800947,None,13.0807,11.5389,9142,2028,96.3013,20.37,5.465,29.749,10.151,39.731,49.261,172.806,10.185,54.69,66.139,186.761,None,None,None,None
1,1,1,0,1,15,31,None,0,0,31,None,86.289323,86.645821,None,12.677,11.4641,9106,2088,96.3444,20.403,5.416,29.751,10.185,39.648,45.644,172.893,10.185,54.694,77.105,183.734,None,None,None,None
1,1,1,0,1,31,1,None,0,0,0,None,86.296624,86.689493,None,12.4232,11.5186,9102,2192,96.3356,20.398,5.43,29.758,10.182,39.639,46.032,173.805,10.182,54.712,66.021,187.039,None,None,None,None
1,1,1,0,1,31,15,None,0,0,0,None,86.593358,86.441939,None,12.1467,11.4884,9135,2049,96.3476,20.448,5.408,29.735,10.19,39.574,45.751,173.781,10.224,54.545,67.058,184.121,None,None,None,None
1,1,1,0,1,31,31,None,0,0,0,None,86.096280,86.718779,None,12.2175,11.5294,9108,2085,96.3071,20.445,5.42,29.738,10.189,39.614,45.732,173.743,10.223,54.503,66.232,184.162,None,None,None,None
1,1,1,0,1,31,1,None,0,0,15,None,86.196350,86.551010,None,13.0977,11.5293,9113,2117,96.2218,20.366,5.494,29.756,10.149,39.664,46.215,173.048,10.183,54.749,67.247,184.705,None,None,None,None
1,1,1,0,1,31,15,None,0,0,15,None,86.182818,86.849400,None,13.053,11.5111,9104,2117,96.3777,20.345,5.396,29.738,10.155,39.785,45.906,171.375,10.155,54.848,67.082,184.115,None,None,None,None
1,1,1,0,1,31,31,None,0,0,15,None,86.329876,86.707330,None,13.1055,11.5571,9087,2125,96.3073,20.311,5.434,29.737,10.122,39.791,47.303,173.689,10.156,54.935,68.07,182.544,None,None,None,None
1,1,1,0,1,31,1,None,0,0,31,None,86.718312,86.469551,None,12.4742,11.5543,9081,2136,96.2861,20.367,5.535,29.755,10.15,39.704,45.607,172.984,10.183,54.665,66.331,183.245,None,None,None,None
