run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose
1,1,1,0,1,15.0,15.0,None,0,15.0,15.0,None,86.211136,86.863442,None,12.6852,12.2332,9043,1939,96.3903,20.554,5.412,29.726,10.26,39.525,44.847,172.981,10.26,54.124,65.196,188.217,None,None,None,None
2,1,1,0,1,15.0,15.0,None,0,15.0,15.0,None,86.231665,86.840844,None,12.6501,12.2645,9065,1930,96.3642,20.476,5.506,29.742,10.221,39.599,45.286,173.711,10.221,54.316,65.108,185.915,None,None,None,None
3,1,1,0,1,15.0,15.0,None,0,15.0,15.0,None,86.240926,86.678369,None,12.6779,12.3301,9048,1936,96.3231,20.521,5.406,29.725,10.227,39.507,44.951,172.691,10.261,54.275,63.347,186.573,None,None,None,None
1,1,1,0,1,15.0,31.0,None,0,15.0,31.0,None,86.03395,86.628265,None,12.2622,12.2412,9115,1923,96.3934,20.589,5.359,29.724,10.261,39.473,44.433,173.04,10.295,54.046,63.096,189.123,None,None,None,None
2,1,1,0,1,15.0,31.0,None,0,15.0,31.0,None,85.740024,86.274401,None,13.358,12.4908,9130,2036,96.2853,20.543,5.349,29.693,10.238,39.534,44.597,173.574,10.272,54.203,63.029,186.834,None,None,None,None
3,1,1,0,1,15.0,31.0,None,0,15.0,31.0,None,86.112915,86.83528,None,13.3702,12.3758,9080,1901,96.2187,20.485,5.412,29.73,10.226,39.61,45.0,171.651,10.226,54.359,64.687,185.321,None,None,None,None
1,1,1,0,1,31.0,15.0,None,0,31.0,15.0,None,86.327853,86.521339,None,12.195,12.2115,9076,1886,96.5089,20.613,5.223,29.738,10.29,39.516,44.468,174.571,10.29,54.05,63.359,187.862,None,None,None,None
2,1,1,0,1,31.0,15.0,None,0,31.0,15.0,None,85.845085,86.739651,None,13.1019,12.4483,9088,1977,96.2765,20.465,5.475,29.709,10.199,39.602,44.556,171.727,10.233,54.371,64.883,185.183,None,None,None,None
3,1,1,0,1,31.0,15.0,None,0,31.0,15.0,None,86.035647,86.535196,None,12.4322,12.3594,9063,1907,96.4345,20.581,5.417,29.736,10.257,39.479,44.527,172.292,10.29,54.021,62.702,186.852,None,None,None,None
1,1,1,0,1,31.0,31.0,None,0,31.0,31.0,None,86.292097,86.541609,None,12.9434,12.421,9094,1945,96.3824,20.553,5.357,29.728,10.26,39.609,44.183,171.235,10.26,54.1,63.101,186.955,None,None,None,None
2,1,1,0,1,31.0,31.0,None,0,31.0,31.0,None,86.255824,86.679168,None,13.1562,12.5238,9060,1907,96.3405,20.514,5.562,29.736,10.223,39.492,46.259,173.886,10.257,54.172,67.616,186.43,None,None,None,None
3,1,1,0,1,31.0,31.0,None,0,31.0,31.0,None,86.299764,86.616192,None,13.0134,12.5618,9137,1897,96.3629,20.489,5.427,29.723,10.228,39.699,45.348,171.378,10.228,54.233,68.265,185.15,None,None,None,None
1,1,0,1,1,15.0,None,15.0,0,15.0,None,15.0,75.414638,None,75.51044,13.6842,12.1461,8431,2047,95.1619,22.913,6.542,29.677,11.423,40.158,47.881,193.445,None,None,None,None,11.457,42.845,56.248,203.083
2,1,0,1,1,15.0,None,15.0,0,15.0,None,15.0,75.229271,None,75.283995,14.4918,12.3927,8402,2077,95.0937,22.866,6.544,29.695,11.416,40.146,47.188,191.905,None,None,None,None,11.416,43.033,55.014,203.895
