use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,±Ùµ¥,cpu_percent,mem_percent,context_switches,npu_percent,hrtt_networks,hrtt_switches_per_sec,hrtt_idle_time_pct,hrtt_run_time_sec,det_avg_fps,det_device_usage_pct,det_sched_threshold_pct,det_sched_timeout_pct,det_sched_idle_pct,det_avg_latency_ms,det_max_latency_ms,det_activation_ms,det_deactivation_ms,seg_avg_fps,seg_device_usage_pct,seg_sched_threshold_pct,seg_sched_timeout_pct,seg_sched_idle_pct,seg_avg_latency_ms,seg_max_latency_ms,seg_activation_ms,seg_deactivation_ms,pose_avg_fps,pose_device_usage_pct,pose_sched_threshold_pct,pose_sched_timeout_pct,pose_sched_idle_pct,pose_avg_latency_ms,pose_max_latency_ms,pose_activation_ms,pose_deactivation_ms
1,0,0,1,1,0,0,None,None,35.695848,None,None,11.897,11.6134,484895,70.9233,1,0,30,29,22.09,69.49,100,0,0,31,38,0.19,N/A,,,,,,,,,,,,,,,,,,
1,0,0,1,1,0,15,None,None,35.714177,None,None,11.7679,11.5395,471064,70.9079,1,0,30,29,22.06,69.49,100,0,0,32,38,0.19,N/A,,,,,,,,,,,,,,,,,,
1,0,0,1,1,0,31,None,None,35.712465,None,None,11.9127,11.6433,501326,70.9925,1,0,30,29,22.06,69.43,100,0,0,31,38,0.18,N/A,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,None,0,None,None,47.873589,None,10.9618,11.8317,744344,83.1485,1,0,18,29,,,,,,,,,,16.78,81.76,100,0,0,49,57,0.2,N/A,,,,,,,,,
0,1,0,1,1,0,None,15,None,None,47.864122,None,11.1768,11.7922,777128,83.0876,1,0,18,29,,,,,,,,,,16.82,81.72,100,0,0,49,56,0.2,N/A,,,,,,,,,
0,1,0,1,1,0,None,31,None,None,47.853367,None,10.814,11.7663,724421,83.1626,1,0,18,29,,,,,,,,,,16.81,81.74,100,0,0,49,56,0.2,N/A,,,,,,,,,
0,0,1,1,1,0,None,None,0,None,None,32.987743,13.0381,11.6383,698594,77.1407,1,0,23,29,,,,,,,,,,,,,,,,,,,21.81,76.62,100,0,0,35,48,0.19,N/A
0,0,1,1,1,0,None,None,15,None,None,32.982743,12.6818,11.6573,659362,77.1324,1,0,23,29,,,,,,,,,,,,,,,,,,,21.78,76.65,100,0,0,35,44,0.2,N/A
0,0,1,1,1,0,None,None,31,None,None,32.990082,13.023,11.5928,694788,77.0216,1,0,23,29,,,,,,,,,,,,,,,,,,,21.79,76.45,100,0,0,35,46,0.2,N/A
1,1,0,1,1,0,0,0,None,82.990005,83.424086,None,12.4593,12.3767,1280253,97.9953,2,20,5,29,10.14,39.85,100,0,0,39,44,171.73,N/A,10.14,54.77,100,0,0,54,62,184.97,N/A,,,,,,,,,
1,1,0,1,1,0,0,15,None,83.060614,83.383209,None,12.2459,12.3244,1292916,98.0083,2,20,5,29,10.14,39.84,100,0,0,39,43,172.09,N/A,10.14,NaN,100,0,0,54,64,185.7,N/A,,,,,,,,,
1,1,0,1,1,0,0,31,None,83.118085,83.482809,None,12.0678,12.3655,1272633,97.9986,2,20,5,29,10.14,39.83,100,0,0,39,43,171.55,N/A,10.14,54.77,100,0,0,54,68,184.68,N/A,,,,,,,,,
1,1,0,1,1,0,15,0,None,82.970816,83.407252,None,12.4848,12.2934,1285019,97.975,2,20,5,29,10.14,39.86,100,0,0,39,43,172.34,N/A,10.17,54.77,100,0,0,53,63,185.08,N/A,,,,,,,,,
1,1,0,1,1,0,15,15,None,82.950071,83.512546,None,12.3541,12.2774,1279965,97.98,2,20,5,29,10.14,39.72,100,0,0,39,43,172.15,N/A,10.14,54.86,100,0,0,54,69,184.7,N/A,,,,,,,,,
1,1,0,1,1,0,15,31,None,82.983617,83.516962,None,12.4353,12.2376,1273415,97.9801,2,20,5,29,10.11,39.85,100,0,0,39,53,170.95,N/A,10.14,54.73,100,0,0,53,62,184.92,N/A,,,,,,,,,
1,1,0,1,1,0,31,0,None,82.977472,83.407213,None,12.4266,12.2174,1279878,97.9616,2,20,5,29,10.07,39.76,100,0,0,39,43,169.87,N/A,10.07,54.64,100,0,0,54,68,183.18,N/A,,,,,,,,,
1,1,0,1,1,0,31,15,None,82.992722,83.342297,None,12.3647,12.2532,1267928,98.0133,2,20,5,29,10.14,39.77,100,0,0,39,43,173.66,N/A,10.17,54.87,100,0,0,53,65,185.99,N/A,,,,,,,,,
1,1,0,1,1,0,31,31,None,82.948164,83.452479,None,12.4391,12.2852,1278831,97.9859,2,20,5,29,10.18,39.77,100,0,0,39,42,174.19,N/A,10.18,54.87,100,0,0,53,63,186.15,N/A,,,,,,,,,
1,0,1,1,1,0,0,None,0,70.386638,None,70.378919,13.3973,12.076,1218595,97.6534,2,23,6,29,11.28,44.91,100,0,0,39,46,192.03,N/A,,,,,,,,,,11.31,48.1,100,0,0,42,55,202.26,N/A
