use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,context_switches,npu_percent,hrtt_networks,hrtt_switches_per_sec,hrtt_idle_time_pct,hrtt_run_time_sec,det_avg_fps,det_device_usage_pct,det_sched_threshold_pct,det_sched_timeout_pct,det_sched_idle_pct,det_avg_latency_ms,det_max_latency_ms,det_activation_ms,det_deactivation_ms,seg_avg_fps,seg_device_usage_pct,seg_sched_threshold_pct,seg_sched_timeout_pct,seg_sched_idle_pct,seg_avg_latency_ms,seg_max_latency_ms,seg_activation_ms,seg_deactivation_ms,pose_avg_fps,pose_device_usage_pct,pose_sched_threshold_pct,pose_sched_timeout_pct,pose_sched_idle_pct,pose_avg_latency_ms,pose_max_latency_ms,pose_activation_ms,pose_deactivation_ms,
1,0,0,1,1,0,0,None,None,35.695848,None,None,11.897,11.6134,484895,70.9233,1,0.034,0.001,29.815,22.17,99.999,100.0,100.0,0.0,26.199,33.205,0.194,0,,,,,,,,,,,,,,,,,,,
1,0,0,1,1,0,15,None,None,35.714177,None,None,11.7679,11.5395,471064,70.9079,1,0.034,0.001,29.812,22.139,99.999,100.0,100.0,0.0,26.246,33.156,0.19,0,,,,,,,,,,,,,,,,,,,
1,0,0,1,1,0,31,None,None,35.712465,None,None,11.9127,11.6433,501326,70.9925,1,0.034,0.001,29.816,22.136,99.999,100.0,100.0,0.0,26.212,33.17,0.183,0,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,None,0,None,None,47.873589,None,10.9618,11.8317,744344,83.1485,1,0.033,0.001,29.871,,,,,,,,,,16.839,99.999,100.0,100.0,0.0,38.578,45.483,0.196,0,,,,,,,,,,
0,1,0,1,1,0,None,15,None,None,47.864122,None,11.1768,11.7922,777128,83.0876,1,0.034,0.001,29.847,,,,,,,,,,16.853,99.999,100.0,100.0,0.0,38.616,45.344,0.203,0,,,,,,,,,,
0,1,0,1,1,0,None,31,None,None,47.853367,None,10.814,11.7663,724421,83.1626,1,0.033,0.001,29.865,,,,,,,,,,16.876,99.999,100.0,100.0,0.0,38.497,45.189,0.197,0,,,,,,,,,,
0,0,1,1,1,0,None,None,0,None,None,32.987743,13.0381,11.6383,698594,77.1407,1,0.034,0.001,29.829,,,,,,,,,,,,,,,,,,,21.891,99.999,100.0,100.0,0.0,25.856,31.353,0.193,0,
0,0,1,1,1,0,None,None,15,None,None,32.982743,12.6818,11.6573,659362,77.1324,1,0.034,0.001,29.826,,,,,,,,,,,,,,,,,,,21.894,99.999,100.0,100.0,0.0,25.801,31.357,0.202,0,
0,0,1,1,1,0,None,None,31,None,None,32.990082,13.023,11.5928,694788,77.0216,1,0.034,0.001,29.809,,,,,,,,,,,,,,,,,,,21.873,99.999,100.0,100.0,0.0,25.762,31.325,0.196,0,
1,1,0,1,1,0,0,0,None,82.990005,83.424086,None,12.4593,12.3767,1280253,97.9953,2,20.439,0.001,29.747,10.22,42.434,100.0,100.0,0.0,33.148,34.818,0.565,0,10.22,57.565,100.0,100.0,0.0,43.091,49.226,0.608,0,,,,,,,,,,
